IP Address,Hour of Day,Event Label,Total Events,Pageviews,Sessions,Session Duration
98.222.110.65,2021100716,other-aches-pains.png,2,2,1,0:01:01
98.222.110.65,2021100716,other-brain-fog.png,1,2,1,0:01:01
98.222.110.65,2021100716,other-dryness.png,1,2,1,0:01:01
98.222.110.65,2021100716,other-weight-gain.png,2,2,1,0:01:01
98.222.110.65,2021100716,supplement,1,2,1,0:01:01
98.222.110.65,2021100716,treatmentsButton,2,2,1,0:01:01
98.222.110.65,2021100716,try-on-your-own,1,2,1,0:01:01
98.22.203.135,2021093005,common-insomnia.png,1,2,1,0:01:53
98.22.203.135,2021093005,other-aches-pains.png,1,2,1,0:01:53
98.22.203.135,2021093005,other-brain-fog.png,1,2,1,0:01:53
98.22.203.135,2021093005,other-dryness.png,1,2,1,0:01:53
98.22.203.135,2021093005,supplement,1,2,1,0:01:53
98.22.203.135,2021093005,treatmentsButton,1,2,1,0:01:53
98.22.203.135,2021093005,try-on-your-own,1,2,1,0:01:53
98.207.138.26,2021102114,common-depression.png,1,9,1,0:19:47
98.207.138.26,2021102114,common-hot-flashes.png,1,9,1,0:19:47
98.207.138.26,2021102114,dry-eyes2.png,1,9,1,0:19:47
98.207.138.26,2021102114,mind-body,1,9,1,0:19:47
98.207.138.26,2021102114,only-treatments-known-to-work,1,9,1,0:19:47
98.207.138.26,2021102114,other-bladder.png,1,9,1,0:19:47
98.207.138.26,2021102114,other-brain-fog.png,1,9,1,0:19:47
98.207.138.26,2021102114,other-weight-gain.png,1,9,1,0:19:47
98.207.138.26,2021102114,post-menopausal-result,1,9,1,0:19:47
98.207.138.26,2021102114,prescription-medicine,1,9,1,0:19:47
98.207.138.26,2021102114,professional-help,1,9,1,0:19:47
98.207.138.26,2021102114,supplement,1,9,1,0:19:47
98.207.138.26,2021102114,treatmentsButton,2,9,1,0:19:47
98.207.138.26,2021102114,try-on-your-own,1,9,1,0:19:47
98.204.252.212,2021093018,common-depression.png,1,5,1,0:04:03
98.204.252.212,2021093018,common-hot-flashes.png,1,5,1,0:04:03
98.204.252.212,2021093018,common-insomnia.png,1,5,1,0:04:03
98.204.252.212,2021093018,mind-body,1,5,1,0:04:03
98.204.252.212,2021093018,other-aches-pains.png,1,5,1,0:04:03
98.204.252.212,2021093018,other-brain-fog.png,1,5,1,0:04:03
98.204.252.212,2021093018,other-weight-gain.png,1,5,1,0:04:03
98.204.252.212,2021093018,supplement,1,5,1,0:04:03
98.204.252.212,2021093018,treatmentsButton,1,5,1,0:04:03
98.204.252.212,2021093018,try-on-your-own,1,5,1,0:04:03
98.201.203.55,2021101716,common-depression.png,1,5,1,0:04:17
98.201.203.55,2021101716,common-hot-flashes.png,2,5,1,0:04:17
98.201.203.55,2021101716,dry-eyes2.png,1,5,1,0:04:17
98.201.203.55,2021101716,other-aches-pains.png,1,5,1,0:04:17
98.201.203.55,2021101716,other-brain-fog.png,2,5,1,0:04:17
98.201.203.55,2021101716,other-weight-gain.png,1,5,1,0:04:17
98.201.203.55,2021101716,sex-libido.png,2,5,1,0:04:17
98.201.203.55,2021101716,sex-period.png,2,5,1,0:04:17
98.201.203.55,2021101716,treatmentsButton,2,5,1,0:04:17
98.200.163.202,2021102416,uncertain-stage-result,2,5,1,0:07:44
98.192.129.75,2021092920,common-hot-flashes.png,1,5,1,0:02:20
98.192.129.75,2021092920,common-insomnia.png,1,5,1,0:02:20
98.181.6.74,2021100616,common-hot-flashes.png,1,2,1,0:01:51
98.181.6.74,2021100616,mind-body,2,2,1,0:01:51
98.181.6.74,2021100616,ok-for-breast-cancer,2,2,1,0:01:51
98.181.6.74,2021100616,only-treatments-known-to-work,2,2,1,0:01:51
98.181.6.74,2021100616,other-aches-pains.png,1,2,1,0:01:51
98.181.6.74,2021100616,other-weight-gain.png,1,2,1,0:01:51
98.181.6.74,2021100616,prescription-medicine,2,2,1,0:01:51
98.181.6.74,2021100616,professional-help,2,2,1,0:01:51
98.181.6.74,2021100616,sex-period.png,1,2,1,0:01:51
98.181.6.74,2021100616,supplement,2,2,1,0:01:51
98.181.6.74,2021100616,treatmentsButton,1,2,1,0:01:51
98.181.6.74,2021100616,try-on-your-own,2,2,1,0:01:51
98.174.82.34,2021092610,common-depression.png,2,13,1,0:16:55
98.174.82.34,2021092610,common-insomnia.png,1,13,1,0:16:55
98.174.82.34,2021092610,early-menopause-transition-result,2,4,1,0:05:51
98.174.82.34,2021092610,mind-body,1,13,1,0:16:55
98.174.82.34,2021092610,other-bladder.png,2,13,1,0:16:55
98.174.82.34,2021092610,other-weight-gain.png,2,13,1,0:16:55
98.174.82.34,2021092610,sex-period.png,2,13,1,0:16:55
98.174.82.34,2021092610,supplement,1,13,1,0:16:55
98.174.82.34,2021092610,treatmentsButton,4,13,1,0:16:55
98.174.82.34,2021092610,try-on-your-own,1,13,1,0:16:55
98.169.145.74,2021102107,common-insomnia.png,1,10,1,0:05:27
98.169.145.74,2021102107,dry-eyes2.png,1,10,1,0:05:27
98.169.145.74,2021102107,other-aches-pains.png,1,10,1,0:05:27
98.169.145.74,2021102107,treatmentsButton,1,10,1,0:05:27
98.165.150.193,2021092423,common-hot-flashes.png,2,9,1,0:10:20
98.165.150.193,2021092423,other-aches-pains.png,2,9,1,0:10:20
98.165.150.193,2021092423,other-bladder.png,2,9,1,0:10:20
98.165.150.193,2021092423,other-weight-gain.png,2,9,1,0:10:20
98.165.150.193,2021092423,sex-libido.png,2,9,1,0:10:20
98.165.150.193,2021092423,sex-pain-vagina.png,2,9,1,0:10:20
98.165.150.193,2021092423,treatmentsButton,3,9,1,0:10:20
98.152.32.83,2021092523,common-depression.png,1,5,1,0:09:05
98.152.32.83,2021092523,common-insomnia.png,1,5,1,0:09:05
98.152.32.83,2021092523,dry-eyes2.png,2,5,1,0:09:05
98.152.32.83,2021092523,late-menopause-transition-result,4,5,1,0:09:05
98.152.32.83,2021092523,other-aches-pains.png,1,5,1,0:09:05
98.152.32.83,2021092523,other-bladder.png,2,5,1,0:09:05
98.152.32.83,2021092523,other-brain-fog.png,2,5,1,0:09:05
98.152.32.83,2021092523,sex-period.png,2,5,1,0:09:05
98.152.32.83,2021092523,treatmentsButton,10,5,1,0:09:05
98.148.91.153,2021100108,common-depression.png,1,3,1,0:11:21
98.148.91.153,2021100108,common-hot-flashes.png,3,3,1,0:11:21
98.148.91.153,2021100108,common-insomnia.png,1,3,1,0:11:21
98.148.91.153,2021100108,other-aches-pains.png,2,3,1,0:11:21
98.148.91.153,2021100108,other-brain-fog.png,1,3,1,0:11:21
98.148.91.153,2021100108,other-weight-gain.png,3,3,1,0:11:21
98.148.91.153,2021100108,treatmentsButton,6,3,1,0:11:21
98.148.192.63,2021100221,uncertain-stage-result,1,3,1,0:01:50
98.146.203.152,2021100709,common-depression.png,1,3,1,0:03:07
98.146.203.152,2021100709,common-hot-flashes.png,1,3,1,0:03:07
98.146.203.152,2021100709,common-insomnia.png,1,3,1,0:03:07
98.146.203.152,2021100709,only-treatments-known-to-work,1,3,1,0:03:07
98.146.203.152,2021100709,prescription-medicine,1,3,1,0:03:07
98.146.203.152,2021100709,sex-libido.png,1,3,1,0:03:07
98.146.203.152,2021100709,sex-period.png,1,3,1,0:03:07
98.146.203.152,2021100709,supplement,1,3,1,0:03:07
98.146.203.152,2021100709,treatmentsButton,1,3,1,0:03:07
98.146.203.152,2021100709,try-on-your-own,1,3,1,0:03:07
98.127.80.222,2021102415,common-depression.png,1,16,1,0:27:25
98.127.80.222,2021102415,common-hot-flashes.png,1,16,1,0:27:25
98.127.80.222,2021102415,late-menopause-transition-result,1,16,1,0:27:25
98.127.80.222,2021102415,other-brain-fog.png,1,16,1,0:27:25
98.127.80.222,2021102415,other-weight-gain.png,1,16,1,0:27:25
98.127.80.222,2021102415,sex-libido.png,3,16,1,0:27:25
98.127.80.222,2021102415,SUB-THRESHOLD INSOMNIA,1,16,1,0:27:25
98.127.80.222,2021102415,treatmentsButton,1,16,1,0:27:25
98.118.116.178,2021093018,other-bladder.png,1,3,1,0:00:42
98.10.243.160,2021092714,late-menopause-transition-result,1,5,1,0:02:50
97.91.169.33,2021092711,common-depression.png,1,4,1,0:03:29
97.91.169.33,2021092711,common-hot-flashes.png,1,4,1,0:03:29
97.91.169.33,2021092711,common-insomnia.png,1,4,1,0:03:29
97.91.169.33,2021092711,sex-libido.png,1,4,1,0:03:29
97.91.169.33,2021092711,sex-pain-sex.png,1,4,1,0:03:29
97.91.169.33,2021092711,sex-pain-vagina.png,1,4,1,0:03:29
97.91.169.33,2021092711,sex-period.png,1,4,1,0:03:29
97.91.169.33,2021092711,treatmentsButton,2,4,1,0:03:29
97.86.226.143,2021101720,common-depression.png,2,5,1,0:03:06
97.86.226.143,2021101720,common-hot-flashes.png,1,5,1,0:03:06
97.86.226.143,2021101720,mind-body,1,5,1,0:03:06
97.86.226.143,2021101720,other-aches-pains.png,1,5,1,0:03:06
97.86.226.143,2021101720,other-weight-gain.png,1,5,1,0:03:06
97.86.226.143,2021101720,sex-period.png,1,5,1,0:03:06
97.86.226.143,2021101720,treatmentsButton,1,5,1,0:03:06
97.86.226.143,2021101720,uncertain-stage-result,1,5,1,0:03:06
97.83.172.247,2021102102,other-weight-gain.png,1,28,1,0:34:31
97.83.172.247,2021102103,common-hot-flashes.png,3,28,1,0:34:31
97.83.172.247,2021102103,common-insomnia.png,3,28,1,0:34:31
97.83.172.247,2021102103,dry-eyes2.png,1,28,1,0:34:31
97.83.172.247,2021102103,only-treatments-known-to-work,2,28,1,0:34:31
97.83.172.247,2021102103,other-aches-pains.png,2,28,1,0:34:31
97.83.172.247,2021102103,other-bladder.png,1,28,1,0:34:31
97.83.172.247,2021102103,other-brain-fog.png,3,28,1,0:34:31
97.83.172.247,2021102103,other-weight-gain.png,2,28,1,0:34:31
97.83.172.247,2021102103,prescription-medicine,4,28,1,0:34:31
97.83.172.247,2021102103,professional-help,2,28,1,0:34:31
97.83.172.247,2021102103,sex-libido.png,2,28,1,0:34:31
97.83.172.247,2021102103,treatmentsButton,3,28,1,0:34:31
97.83.172.247,2021102103,try-on-your-own,2,28,1,0:34:31
97.121.167.37,2021092921,common-depression.png,1,10,1,0:08:06
97.121.167.37,2021092921,common-hot-flashes.png,1,10,1,0:08:06
97.121.167.37,2021092921,common-insomnia.png,1,10,1,0:08:06
97.121.167.37,2021092921,mind-body,1,10,1,0:08:06
97.121.167.37,2021092921,only-treatments-known-to-work,1,10,1,0:08:06
97.121.167.37,2021092921,other-aches-pains.png,1,10,1,0:08:06
97.121.167.37,2021092921,other-weight-gain.png,1,10,1,0:08:06
97.121.167.37,2021092921,prescription-medicine,1,10,1,0:08:06
97.121.167.37,2021092921,sex-libido.png,1,10,1,0:08:06
97.121.167.37,2021092921,supplement,1,10,1,0:08:06
97.121.167.37,2021092921,treatmentsButton,2,10,1,0:08:06
97.121.167.37,2021092921,try-on-your-own,1,10,1,0:08:06
97.118.138.172,2021102316,sex-libido.png,1,5,1,0:01:39
97.118.138.172,2021102316,uncertain-stage-result,1,5,1,0:01:39
97.115.93.206,2021092721,uncertain-stage-result,1,5,1,0:04:54
97.102.31.226,2021100308,common-depression.png,1,19,1,0:09:42
97.102.31.226,2021100308,common-hot-flashes.png,1,19,1,0:09:42
97.102.31.226,2021100308,common-insomnia.png,1,19,1,0:09:42
97.102.31.226,2021100308,other-weight-gain.png,1,19,1,0:09:42
97.102.31.226,2021100308,sex-libido.png,1,19,1,0:09:42
97.102.31.226,2021100308,sex-pain-sex.png,1,19,1,0:09:42
97.102.31.226,2021100308,sex-period.png,1,19,1,0:09:42
96.42.25.209,2021092719,sex-libido.png,1,3,1,0:00:43
96.41.202.198,2021092608,common-hot-flashes.png,1,12,1,0:05:38
96.41.202.198,2021092608,common-insomnia.png,1,12,1,0:05:38
96.41.202.198,2021092608,sex-period.png,1,12,1,0:05:38
96.41.202.198,2021092609,common-depression.png,1,4,1,0:02:26
96.41.202.198,2021092609,common-hot-flashes.png,1,4,1,0:02:26
96.41.202.198,2021092609,common-insomnia.png,1,4,1,0:02:26
96.41.202.198,2021092609,early-menopause-transition-result,1,4,1,0:02:26
96.41.202.198,2021092609,other-brain-fog.png,1,4,1,0:02:26
96.41.202.198,2021092609,other-weight-gain.png,1,4,1,0:02:26
96.41.202.198,2021092609,reproductive-years-result,1,4,1,0:02:26
96.41.202.198,2021092609,sex-libido.png,1,4,1,0:02:26
96.41.202.198,2021092609,supplement,1,4,1,0:02:26
96.41.202.198,2021092609,treatmentsButton,2,4,1,0:02:26
96.41.202.198,2021092609,try-on-your-own,1,4,1,0:02:26
96.32.232.173,2021102020,other-aches-pains.png,1,3,1,0:23:25
96.29.3.249,2021092615,common-hot-flashes.png,2,12,1,0:17:20
96.29.3.249,2021092615,common-insomnia.png,2,12,1,0:17:20
96.29.3.249,2021092615,dry-eyes2.png,1,12,1,0:17:20
96.29.3.249,2021092615,other-bladder.png,2,12,1,0:17:20
96.29.3.249,2021092615,other-dryness.png,1,12,1,0:17:20
96.29.3.249,2021092615,prescription-medicine,1,12,1,0:17:20
96.29.3.249,2021092615,treatmentsButton,1,12,1,0:17:20
96.252.109.126,2021093015,common-depression.png,1,13,1,0:18:45
96.252.109.126,2021093015,common-hot-flashes.png,1,13,1,0:18:45
96.252.109.126,2021093015,common-insomnia.png,1,13,1,0:18:45
96.252.109.126,2021093015,dry-eyes2.png,1,13,1,0:18:45
96.252.109.126,2021093015,mind-body,1,13,1,0:18:45
96.252.109.126,2021093015,only-treatments-known-to-work,1,13,1,0:18:45
96.252.109.126,2021093015,other-aches-pains.png,1,13,1,0:18:45
96.252.109.126,2021093015,other-weight-gain.png,1,13,1,0:18:45
96.252.109.126,2021093015,prescription-medicine,1,13,1,0:18:45
96.252.109.126,2021093015,professional-help,1,13,1,0:18:45
96.252.109.126,2021093015,reproductive-years-result,1,13,1,0:18:45
96.252.109.126,2021093015,sex-libido.png,1,13,1,0:18:45
96.252.109.126,2021093015,supplement,1,13,1,0:18:45
96.252.109.126,2021093015,treatmentsButton,5,13,1,0:18:45
96.252.109.126,2021093015,try-on-your-own,1,13,1,0:18:45
96.230.217.109,2021102418,common-depression.png,1,15,1,0:13:52
96.230.217.109,2021102418,common-hot-flashes.png,1,15,1,0:13:52
96.230.217.109,2021102418,common-insomnia.png,1,15,1,0:13:52
96.230.217.109,2021102418,sex-period.png,1,15,1,0:13:52
8.29.210.69,2021101708,uncertain-stage-result,1,7,1,0:03:34
76.9.91.238,2021100717,common-hot-flashes.png,1,10,1,0:13:13
76.9.91.238,2021100717,other-aches-pains.png,1,10,1,0:13:13
76.9.91.238,2021100717,other-brain-fog.png,1,10,1,0:13:13
76.9.91.238,2021100717,uncertain-stage-result,1,10,1,0:13:13
76.26.54.57,2021100109,reproductive-years-result,1,10,1,0:10:00
76.25.77.216,2021100113,common-hot-flashes.png,1,8,1,0:08:01
76.25.77.216,2021100113,common-insomnia.png,1,8,1,0:08:01
76.25.77.216,2021100113,other-brain-fog.png,1,8,1,0:08:01
76.25.77.216,2021100113,reproductive-years-result,1,8,1,0:08:01
76.25.77.216,2021100113,sex-libido.png,1,8,1,0:08:01
76.25.77.216,2021100113,sex-period.png,1,8,1,0:08:01
76.25.77.216,2021100113,treatmentsButton,1,8,1,0:08:01
76.234.140.218,2021101513,common-depression.png,1,10,1,0:16:53
76.234.140.218,2021101513,early-menopause-transition-result,2,10,1,0:16:53
76.234.140.218,2021101513,other-brain-fog.png,1,10,1,0:16:53
76.234.140.218,2021101513,other-dryness.png,1,10,1,0:16:53
76.234.140.218,2021101513,other-weight-gain.png,3,10,1,0:16:53
76.234.140.218,2021101513,sex-period.png,2,10,1,0:16:53
76.234.140.218,2021101513,treatmentsButton,1,10,1,0:16:53
76.20.100.62,2021100819,other-weight-gain.png,1,3,1,0:00:53
76.191.19.153,2021100218,reproductive-years-result,1,3,1,0:01:32
76.183.186.151,2021101714,common-hot-flashes.png,1,5,1,0:11:03
76.183.186.151,2021101714,other-brain-fog.png,1,5,1,0:11:03
76.183.186.151,2021101714,other-dryness.png,2,5,1,0:11:03
