Page,IP Address,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit
/treatments/,107.77.204.226,1,1,0:00:33,0,0.00%,0.00%
/weight-gain/,107.77.204.226,1,1,0:01:55,0,0.00%,0.00%
/,107.77.207.231,3,1,0:00:28,1,0.00%,33.33%
/about/,107.77.207.231,1,1,0:00:31,0,0.00%,0.00%
/am-i-in-menopause/,107.77.207.231,1,1,0:01:06,0,0.00%,0.00%
/bladder-control-problems/,107.77.207.231,2,1,0:01:57,0,0.00%,0.00%
/create-my-menoplan/,107.77.207.231,1,1,0:00:35,0,0.00%,0.00%
/dealing-with-bladder-control/,107.77.207.231,1,1,0:03:07,0,0.00%,0.00%
/heavy-irregular-periods/,107.77.207.231,1,1,0:03:02,0,0.00%,0.00%
/hormone-therapy/,107.77.207.231,1,1,0:03:43,0,0.00%,0.00%
/hot-flashes/,107.77.207.231,4,1,0:01:24,0,0.00%,0.00%
/questions-and-answers/,107.77.207.231,1,1,0:02:30,0,0.00%,0.00%
/symptoms-landing-page/,107.77.207.231,1,1,0:00:10,0,0.00%,0.00%
/vaginal-physical-therapy/,107.77.207.231,1,1,0:00:17,0,0.00%,0.00%
/womens-stories/,107.77.207.231,1,1,0:00:21,0,0.00%,0.00%
/,107.77.208.231,1,1,0:00:10,1,0.00%,0.00%
/create-my-menoplan/,107.77.208.231,1,1,0:00:00,0,0.00%,100.00%
/,108.202.117.72,1,1,0:00:10,1,0.00%,0.00%
/am-i-in-menopause/,108.202.117.72,1,1,0:01:26,0,0.00%,0.00%
/create-my-menoplan/,108.202.117.72,2,1,0:01:34,0,0.00%,0.00%
/dealing-with-dry-hair-skin/,108.202.117.72,1,1,0:01:31,0,0.00%,0.00%
/dry-hair-skin/,108.202.117.72,1,1,0:02:03,0,0.00%,0.00%
/heavy-irregular-periods/,108.202.117.72,1,1,0:01:04,0,0.00%,0.00%
/hot-flashes/,108.202.117.72,1,1,0:02:43,0,0.00%,0.00%
/mood-depression-anxiety/,108.202.117.72,1,1,0:01:32,0,0.00%,0.00%
/sleep-problems-insomnia/,108.202.117.72,1,1,0:01:10,0,0.00%,0.00%
/symptoms-landing-page/,108.202.117.72,1,1,0:00:12,0,0.00%,0.00%
/womens-stories/,108.202.117.72,1,1,0:00:00,0,0.00%,100.00%
/,108.213.221.15,1,1,0:01:56,1,0.00%,0.00%
/about/,108.213.221.15,1,1,0:00:33,0,0.00%,0.00%
/am-i-in-menopause/,108.213.221.15,2,1,0:01:01,0,0.00%,0.00%
/create-my-menoplan/,108.213.221.15,2,1,0:02:00,0,0.00%,0.00%
/questions-and-answers/,108.213.221.15,1,1,0:01:40,0,0.00%,0.00%
/staying-healthy-in-midlife/,108.213.221.15,1,1,0:14:46,0,0.00%,0.00%
/strategies-to-talk-with-your-doctor/,108.213.221.15,4,1,0:00:17,0,0.00%,25.00%
/,108.215.130.45,1,1,0:00:08,1,0.00%,0.00%
/hot-flashes/,108.215.130.45,1,1,0:01:31,0,0.00%,0.00%
/sleep-problems-insomnia/,108.215.130.45,1,1,0:00:00,0,0.00%,100.00%
/symptoms-landing-page/,108.215.130.45,1,1,0:00:41,0,0.00%,0.00%
/,108.234.124.199,1,1,0:01:18,1,0.00%,0.00%
/am-i-in-menopause/,108.234.124.199,1,1,0:01:43,0,0.00%,0.00%
/create-my-menoplan/,108.234.124.199,5,1,0:01:30,0,0.00%,20.00%
/dealing-with-bladder-control/,108.234.124.199,1,1,0:00:26,0,0.00%,0.00%
/hormone-therapy/,108.234.124.199,2,1,0:01:18,0,0.00%,0.00%
/strategies-to-talk-with-your-doctor/,108.234.124.199,1,1,0:00:59,0,0.00%,0.00%
/vaginal-estrogen/,108.234.124.199,1,1,0:01:39,0,0.00%,0.00%
/vaginal-lubricants-and-moisturizers/,108.234.124.199,1,1,0:01:53,0,0.00%,0.00%
/,108.52.130.168,1,1,0:00:08,1,0.00%,0.00%
/bladder-control-problems/,108.52.130.168,1,1,0:06:23,0,0.00%,0.00%
/create-my-menoplan/,108.52.130.168,1,1,0:00:00,0,0.00%,100.00%
/dealing-with-physical-aches-pains/,108.52.130.168,1,1,0:03:15,0,0.00%,0.00%
/physical-aches-pains/,108.52.130.168,1,1,0:01:38,0,0.00%,0.00%
/symptoms-landing-page/,108.52.130.168,2,1,0:00:19,0,0.00%,0.00%
/,136.56.102.125,1,1,0:00:10,1,0.00%,0.00%
/am-i-in-menopause/,136.56.102.125,1,1,0:00:38,0,0.00%,0.00%
/strategies-to-talk-with-your-doctor/,136.56.102.125,1,1,0:00:00,0,0.00%,100.00%
/symptoms-landing-page/,136.56.102.125,2,1,0:00:22,0,0.00%,0.00%
/,140.186.252.50,3,1,0:02:03,1,0.00%,0.00%
/about/,140.186.252.50,1,1,0:00:21,0,0.00%,0.00%
/avoiding-weight-gain/,140.186.252.50,1,1,0:01:25,0,0.00%,0.00%
/clinical-hypnosis/,140.186.252.50,1,1,0:00:35,0,0.00%,0.00%
/cognitive-behavioral-therapy-for-sleep/,140.186.252.50,1,1,0:02:00,0,0.00%,0.00%
/cognitive-behavioral-therapy/,140.186.252.50,1,1,0:00:18,0,0.00%,0.00%
/create-my-menoplan/,140.186.252.50,1,1,0:01:42,0,0.00%,0.00%
/dealing-with-brain-fog/,140.186.252.50,1,1,0:00:58,0,0.00%,0.00%
/exercise/,140.186.252.50,1,1,0:01:04,0,0.00%,0.00%
/hot-flashes/,140.186.252.50,1,1,0:00:15,0,0.00%,0.00%
/low-sex-drive/,140.186.252.50,1,1,0:00:30,0,0.00%,0.00%
/meditation-mindfulness-mindfulness-based-stress-reduction/,140.186.252.50,1,1,0:00:36,0,0.00%,0.00%
/mood-depression-anxiety/,140.186.252.50,3,1,0:00:23,0,0.00%,0.00%
/our-story/,140.186.252.50,1,1,0:00:28,0,0.00%,0.00%
/our-team/,140.186.252.50,1,1,0:00:20,0,0.00%,0.00%
/paced-breathing/,140.186.252.50,1,1,0:01:33,0,0.00%,0.00%
/questions-and-answers/,140.186.252.50,3,1,0:01:38,0,0.00%,0.00%
/sleep-problems-insomnia/,140.186.252.50,2,1,0:00:41,0,0.00%,0.00%
/symptoms-landing-page/,140.186.252.50,7,1,0:00:11,0,0.00%,0.00%
/test/insomnia-severity-index/,140.186.252.50,1,1,0:00:30,0,0.00%,0.00%
/test/insomnia-severity-index/5m13ed4dc31462e24bb77808351b47c821/,140.186.252.50,1,1,0:00:13,0,0.00%,0.00%
/vagina-pain-dryness-not-during-sex/,140.186.252.50,1,1,0:00:11,0,0.00%,0.00%
/vaginal-estrogen/,140.186.252.50,1,1,0:00:21,0,0.00%,0.00%
/weight-gain/,140.186.252.50,2,1,0:00:29,0,0.00%,0.00%
/who-we-are/,140.186.252.50,2,1,0:00:16,0,0.00%,0.00%
/yoga/,140.186.252.50,1,1,0:00:00,0,0.00%,100.00%
/,141.156.128.117,1,1,0:00:09,1,0.00%,0.00%
/heavy-irregular-periods/,141.156.128.117,1,1,0:02:32,0,0.00%,0.00%
/sleep-problems-insomnia/,141.156.128.117,1,1,0:00:22,0,0.00%,0.00%
/symptoms-landing-page/,141.156.128.117,3,1,0:00:22,0,0.00%,33.33%
/,151.197.230.4,1,1,0:00:23,1,0.00%,0.00%
/create-my-menoplan/,151.197.230.4,1,1,0:02:40,0,0.00%,0.00%
/dealing-with-brain-fog/,151.197.230.4,1,1,0:01:44,0,0.00%,0.00%
/hot-flashes/,151.197.230.4,1,1,0:01:33,0,0.00%,0.00%
/mood-depression-anxiety/,151.197.230.4,2,1,0:00:40,0,0.00%,50.00%
/symptoms-landing-page/,151.197.230.4,2,1,0:00:07,0,0.00%,0.00%
/,162.218.220.231,4,2,0:00:57,2,50.00%,50.00%
/am-i-in-menopause/,162.218.220.231,2,1,0:01:19,0,0.00%,0.00%
/create-my-menoplan/,162.218.220.231,2,1,0:01:22,0,0.00%,0.00%
/our-story/,162.218.220.231,2,1,0:00:14,0,0.00%,0.00%
/our-team/,162.218.220.231,2,1,0:02:45,0,0.00%,0.00%
/questions-and-answers/,162.218.220.231,2,1,0:01:47,0,0.00%,0.00%
/strategies-to-talk-with-your-doctor/,162.218.220.231,2,1,0:00:36,0,0.00%,0.00%
/womens-stories/,162.218.220.231,2,1,0:05:14,0,0.00%,0.00%
/,162.222.31.52,1,1,0:00:29,1,0.00%,0.00%
/brain-fog-cognitive-issues/,162.222.31.52,1,1,0:02:24,0,0.00%,0.00%
/create-my-menoplan/,162.222.31.52,2,1,0:31:55,0,0.00%,50.00%
/dealing-with-dry-hair-skin/,162.222.31.52,1,1,0:02:01,0,0.00%,0.00%
/dry-hair-skin/,162.222.31.52,1,1,0:01:29,0,0.00%,0.00%
/herbal-remedies-and-supplements/,162.222.31.52,1,1,0:01:40,0,0.00%,0.00%
/low-sex-drive/,162.222.31.52,1,1,0:01:30,0,0.00%,0.00%
/physical-aches-pains/,162.222.31.52,1,1,0:01:13,0,0.00%,0.00%
/sleep-problems-insomnia/,162.222.31.52,1,1,0:01:37,0,0.00%,0.00%
/symptoms-landing-page/,162.222.31.52,1,1,0:00:30,0,0.00%,0.00%
/treatments/,162.222.31.52,2,1,0:00:29,0,0.00%,0.00%
/weight-gain/,162.222.31.52,1,1,0:02:28,0,0.00%,0.00%
/,166.181.82.19,1,1,0:00:08,1,0.00%,0.00%
/about/,166.181.82.19,1,1,0:00:20,0,0.00%,0.00%
/am-i-in-menopause/,166.181.82.19,1,1,0:00:43,0,0.00%,0.00%
/create-my-menoplan/,166.181.82.19,1,1,0:00:18,0,0.00%,0.00%
/strategies-to-talk-with-your-doctor/,166.181.82.19,1,1,0:00:00,0,0.00%,100.00%
/symptoms-landing-page/,166.181.82.19,1,1,0:00:32,0,0.00%,0.00%
/treatments/,166.181.82.19,1,1,0:00:40,0,0.00%,0.00%
/who-we-are/,166.181.82.19,1,1,0:00:16,0,0.00%,0.00%
/,172.58.207.135,1,1,0:00:40,1,0.00%,0.00%
/am-i-in-menopause/,172.58.207.135,1,1,0:00:55,0,0.00%,0.00%
/avoiding-weight-gain/,172.58.207.135,1,1,0:00:58,0,0.00%,0.00%
/bladder-control-problems/,172.58.207.135,1,1,0:00:00,0,0.00%,100.00%
/low-sex-drive/,172.58.207.135,1,1,0:01:07,0,0.00%,0.00%
/pain-with-sex/,172.58.207.135,1,1,0:01:14,0,0.00%,0.00%
/symptoms-landing-page/,172.58.207.135,4,1,0:00:12,0,0.00%,0.00%
/weight-gain/,172.58.207.135,2,1,0:00:15,0,0.00%,0.00%
/,172.58.220.43,1,1,0:00:09,1,0.00%,0.00%
/hot-flashes/,172.58.220.43,1,1,0:01:01,0,0.00%,0.00%
/low-sex-drive/,172.58.220.43,1,1,0:00:00,0,0.00%,100.00%
/sleep-problems-insomnia/,172.58.220.43,1,1,0:00:28,0,0.00%,0.00%
/symptoms-landing-page/,172.58.220.43,3,1,0:00:11,0,0.00%,0.00%
/,172.58.23.222,1,1,0:01:31,1,0.00%,0.00%
/create-my-menoplan/,172.58.23.222,1,1,0:00:00,0,0.00%,100.00%
/,172.58.236.51,1,1,0:00:11,1,0.00%,0.00%
/create-my-menoplan/,172.58.236.51,1,1,0:00:00,0,0.00%,100.00%
/,172.58.70.156,1,1,0:01:13,1,0.00%,0.00%
/am-i-in-menopause/,172.58.70.156,1,1,0:01:55,0,0.00%,0.00%
/create-my-menoplan/,172.58.70.156,1,1,0:00:00,0,0.00%,100.00%
/low-sex-drive/,172.58.70.156,1,1,0:02:23,0,0.00%,0.00%
/mood-depression-anxiety/,172.58.70.156,1,1,0:01:55,0,0.00%,0.00%
/physical-aches-pains/,172.58.70.156,1,1,0:02:24,0,0.00%,0.00%
/symptoms-landing-page/,172.58.70.156,4,1,0:00:26,0,0.00%,0.00%
/,172.89.24.156,1,1,0:02:33,1,0.00%,0.00%
/am-i-in-menopause/,172.89.24.156,1,1,0:00:00,0,0.00%,100.00%
/,172.91.219.96,1,1,0:00:17,1,0.00%,0.00%
/create-my-menoplan/,172.91.219.96,1,1,0:00:00,0,0.00%,100.00%
/,173.29.245.134,1,1,0:00:47,1,0.00%,0.00%
/am-i-in-menopause/,173.29.245.134,1,1,0:01:25,0,0.00%,0.00%
/cognitive-behavioral-therapy-for-sleep/,173.29.245.134,1,1,0:00:00,0,0.00%,100.00%
/create-my-menoplan/,173.29.245.134,1,1,0:06:19,0,0.00%,0.00%
/dealing-with-brain-fog/,173.29.245.134,1,1,0:02:23,0,0.00%,0.00%
/sleep-problems-insomnia/,173.29.245.134,1,1,0:01:27,0,0.00%,0.00%
/,173.49.19.117,1,1,0:00:00,1,100.00%,100.00%
/,173.69.134.2,1,1,0:00:07,1,0.00%,0.00%
/create-my-menoplan/,173.69.134.2,1,1,0:00:00,0,0.00%,100.00%
/symptoms-landing-page/,173.69.134.2,1,1,0:00:31,0,0.00%,0.00%
/,174.198.65.5,2,2,0:00:39,2,50.00%,50.00%
/about/,174.198.65.5,1,1,0:00:10,0,0.00%,0.00%
/am-i-in-menopause/,174.198.65.5,1,1,0:01:09,0,0.00%,0.00%
/dealing-with-bladder-control/,174.198.65.5,1,1,0:00:28,0,0.00%,0.00%
/treatments/,174.198.65.5,3,2,0:00:25,1,100.00%,66.67%
/,174.203.101.81,1,1,0:00:00,1,100.00%,100.00%
/,174.206.65.163,1,1,0:01:24,1,0.00%,0.00%
/about/,174.206.65.163,1,1,0:00:14,0,0.00%,0.00%
/staying-healthy-in-midlife/,174.206.65.163,1,1,0:00:00,0,0.00%,100.00%
/,174.244.149.165,1,1,0:00:00,1,100.00%,100.00%
/create-my-menoplan/,174.244.149.165,1,1,0:00:00,1,100.00%,100.00%
/,174.246.134.42,1,1,0:04:05,1,0.00%,0.00%
/am-i-in-menopause/,174.246.134.42,2,1,0:07:47,0,0.00%,50.00%
/bladder-control-problems/,174.246.134.42,1,1,0:07:19,0,0.00%,0.00%
/brain-fog-cognitive-issues/,174.246.134.42,1,1,0:03:17,0,0.00%,0.00%
/dry-eyes/,174.246.134.42,1,1,0:02:34,0,0.00%,0.00%
/dry-hair-skin/,174.246.134.42,1,1,0:01:59,0,0.00%,0.00%
/mood-depression-anxiety/,174.246.134.42,1,1,0:02:05,0,0.00%,0.00%
/physical-aches-pains/,174.246.134.42,1,1,0:01:59,0,0.00%,0.00%
/questions-and-answers/,174.246.134.42,1,1,0:08:24,0,0.00%,0.00%
/sleep-problems-insomnia/,174.246.134.42,1,1,0:01:57,0,0.00%,0.00%
/symptoms-landing-page/,174.246.134.42,1,1,0:00:35,0,0.00%,0.00%
/weight-gain/,174.246.134.42,2,1,0:03:26,0,0.00%,0.00%
/womens-stories/,174.246.134.42,3,1,0:05:31,0,0.00%,0.00%
/,174.96.48.51,1,1,0:00:35,1,0.00%,0.00%
/am-i-in-menopause/,174.96.48.51,1,1,0:00:00,0,0.00%,100.00%
/,184.62.130.147,2,1,0:00:39,1,0.00%,0.00%
/about/,184.62.130.147,4,1,0:00:09,0,0.00%,0.00%
/am-i-in-menopause/,184.62.130.147,1,1,0:00:35,0,0.00%,0.00%
/brain-fog-cognitive-issues/,184.62.130.147,1,1,0:00:34,0,0.00%,0.00%
/create-my-menoplan/,184.62.130.147,1,1,0:00:00,0,0.00%,100.00%
/hot-flashes/,184.62.130.147,1,1,0:01:09,0,0.00%,0.00%
/mood-depression-anxiety/,184.62.130.147,1,1,0:00:34,0,0.00%,0.00%
/questions-and-answers/,184.62.130.147,2,1,0:01:20,0,0.00%,0.00%
/sleep-problems-insomnia/,184.62.130.147,1,1,0:00:39,0,0.00%,0.00%
/strategies-to-talk-with-your-doctor/,184.62.130.147,1,1,0:00:27,0,0.00%,0.00%
/symptoms-landing-page/,184.62.130.147,5,1,0:00:10,0,0.00%,0.00%
/,216.93.226.235,1,1,0:00:59,1,0.00%,0.00%
/am-i-in-menopause/,216.93.226.235,1,1,0:01:17,0,0.00%,0.00%
/create-my-menoplan/,216.93.226.235,1,1,0:00:00,0,0.00%,100.00%
/questions-and-answers/,216.93.226.235,1,1,0:02:12,0,0.00%,0.00%
/symptoms-landing-page/,216.93.226.235,1,1,0:00:38,0,0.00%,0.00%
/weight-gain/,216.93.226.235,1,1,0:02:26,0,0.00%,0.00%
/,23.123.210.55,2,1,0:00:21,1,0.00%,0.00%
/brain-fog-cognitive-issues/,23.123.210.55,1,1,0:00:43,0,0.00%,0.00%
/create-my-menoplan/,23.123.210.55,1,1,0:04:14,0,0.00%,0.00%
/dealing-with-bladder-control/,23.123.210.55,1,1,0:00:00,0,0.00%,100.00%
/gabapentin-and-pregabalin/,23.123.210.55,1,1,0:00:11,0,0.00%,0.00%
/sleep-problems-insomnia/,23.123.210.55,2,1,0:00:52,0,0.00%,0.00%
/womens-stories/,23.123.210.55,2,1,0:00:41,0,0.00%,0.00%
/,23.242.78.23,1,1,0:00:30,1,0.00%,0.00%
/am-i-in-menopause/,23.242.78.23,2,1,0:00:47,0,0.00%,50.00%
/dry-eyes/,23.242.78.23,1,1,0:00:51,0,0.00%,0.00%
/symptoms-landing-page/,23.242.78.23,2,1,0:00:14,0,0.00%,0.00%
/,24.0.99.105,1,1,0:00:11,1,0.00%,0.00%
/am-i-in-menopause/,24.0.99.105,1,1,0:01:56,0,0.00%,0.00%
/avoiding-triggers/,24.0.99.105,1,1,0:00:50,0,0.00%,0.00%
/create-my-menoplan/,24.0.99.105,1,1,0:01:58,0,0.00%,0.00%
/herbal-remedies-and-supplements/,24.0.99.105,1,1,0:00:23,0,0.00%,0.00%
/hot-flashes/,24.0.99.105,1,1,0:02:50,0,0.00%,0.00%
/questions-and-answers/,24.0.99.105,1,1,0:04:24,0,0.00%,0.00%
/strategies-to-talk-with-your-doctor/,24.0.99.105,1,1,0:00:00,0,0.00%,100.00%
/symptoms-landing-page/,24.0.99.105,2,1,0:00:19,0,0.00%,0.00%
/treatments/,24.0.99.105,4,1,0:00:12,0,0.00%,0.00%
/vaginal-lubricants-and-moisturizers/,24.0.99.105,1,1,0:01:57,0,0.00%,0.00%
/vitamins/,24.0.99.105,1,1,0:00:12,0,0.00%,0.00%
/weight-gain/,24.0.99.105,1,1,0:02:23,0,0.00%,0.00%
/,24.151.232.123,2,1,0:00:52,1,0.00%,50.00%
/strategies-to-talk-with-your-doctor/,24.17.167.82,2,2,0:00:00,2,100.00%,100.00%
/,24.190.29.127,1,1,0:01:00,1,0.00%,0.00%
/am-i-in-menopause/,24.190.29.127,1,1,0:00:00,0,0.00%,100.00%
/,24.190.32.242,1,1,0:00:09,1,0.00%,0.00%
/create-my-menoplan/,24.190.32.242,1,1,0:00:00,0,0.00%,100.00%
/,24.240.58.192,1,1,0:00:08,1,0.00%,0.00%
/am-i-in-menopause/,24.240.58.192,1,1,0:01:13,0,0.00%,0.00%
/create-my-menoplan/,24.240.58.192,1,1,0:01:18,0,0.00%,0.00%
/hormone-therapy/,24.240.58.192,1,1,0:00:00,0,0.00%,100.00%
/symptoms-landing-page/,24.240.58.192,1,1,0:00:35,0,0.00%,0.00%
/treatment-template-shorter-table-of-contents-2/,24.240.58.192,1,1,0:00:36,0,0.00%,0.00%
/treatments/,24.240.58.192,1,1,0:00:10,0,0.00%,0.00%
/,24.250.15.34,2,1,0:00:47,1,0.00%,0.00%
/avoiding-weight-gain/,24.250.15.34,1,1,0:29:43,0,0.00%,0.00%
/create-my-menoplan/,24.250.15.34,2,1,0:01:02,0,0.00%,50.00%
/womens-stories/,24.250.15.34,4,4,0:08:18,3,100.00%,75.00%
/,24.43.123.71,1,1,0:00:06,1,0.00%,0.00%
/create-my-menoplan/,24.43.123.71,2,1,0:00:19,0,0.00%,0.00%
/pelvic-floor-physical-therapy/,24.43.123.71,1,1,0:00:00,0,0.00%,100.00%
/,24.8.149.174,1,1,0:01:12,1,0.00%,0.00%
/about/,24.8.149.174,2,1,0:00:28,0,0.00%,50.00%
/am-i-in-menopause/,24.8.149.174,2,1,0:01:08,0,0.00%,0.00%
/create-my-menoplan/,24.8.149.174,1,1,0:00:20,0,0.00%,0.00%
/heavy-irregular-periods/,24.8.149.174,2,1,0:02:15,0,0.00%,0.00%
/questions-and-answers/,24.8.149.174,2,1,0:00:13,0,0.00%,0.00%
/symptoms-landing-page/,24.8.149.174,2,1,0:00:24,0,0.00%,0.00%
/create-my-menoplan/?fbclid=IwAR2CbqesKC3coyg2jLTi-g5SedQG0lhOJfRsSdU3be_7mNpys3W1Aem6u6A,31.13.127.116,1,1,0:00:00,1,100.00%,100.00%
/,45.48.39.139,1,1,0:00:00,1,100.00%,100.00%
/,47.196.175.149,2,1,0:00:48,1,0.00%,0.00%
/create-my-menoplan/,47.196.175.149,1,1,0:00:00,0,0.00%,100.00%
/our-team/,47.196.175.149,1,1,0:00:43,0,0.00%,0.00%
/team/susan-d-reed-md-mph/,47.196.175.149,1,1,0:00:24,0,0.00%,0.00%
/,47.208.0.36,1,1,0:02:37,1,0.00%,0.00%
/womens-stories/,47.208.0.36,2,1,0:10:58,0,0.00%,50.00%
/,47.226.30.185,1,1,0:00:08,1,0.00%,0.00%
/bladder-control-problems/,47.226.30.185,1,1,0:01:57,0,0.00%,0.00%
/brain-fog-cognitive-issues/,47.226.30.185,1,1,0:01:04,0,0.00%,0.00%
/heavy-irregular-periods/,47.226.30.185,1,1,0:01:29,0,0.00%,0.00%
/hot-flashes/,47.226.30.185,1,1,0:02:18,0,0.00%,0.00%
/mood-depression-anxiety/,47.226.30.185,1,1,0:00:51,0,0.00%,0.00%
/physical-aches-pains/,47.226.30.185,1,1,0:00:41,0,0.00%,0.00%
/sleep-problems-insomnia/,47.226.30.185,1,1,0:00:34,0,0.00%,0.00%
/symptoms-landing-page/,47.226.30.185,8,1,0:00:09,0,0.00%,12.50%
/,64.127.165.14,1,1,0:02:39,1,0.00%,0.00%
/am-i-in-menopause/,64.127.165.14,2,1,0:01:15,0,0.00%,0.00%
/cooling-techniques/,64.127.165.14,1,1,0:03:13,0,0.00%,0.00%
/create-my-menoplan/,64.127.165.14,4,1,0:02:41,0,0.00%,0.00%
/physical-aches-pains/,64.127.165.14,2,1,0:02:34,0,0.00%,0.00%
/questions-and-answers/,64.127.165.14,2,1,0:00:16,0,0.00%,50.00%
/treatments/,64.127.165.14,3,1,0:00:46,0,0.00%,0.00%
/,65.131.24.176,1,1,0:01:08,1,0.00%,0.00%
/create-my-menoplan/,65.131.24.176,1,1,0:00:00,0,0.00%,100.00%
/,65.191.169.190,1,1,0:00:30,1,0.00%,0.00%
/create-my-menoplan/,65.191.169.190,1,1,0:00:00,0,0.00%,100.00%
/dry-eyes/,67.180.15.146,1,1,0:00:00,1,100.00%,100.00%
/,68.102.65.122,1,1,0:00:10,1,0.00%,0.00%
/create-my-menoplan/,68.102.65.122,1,1,0:00:26,0,0.00%,0.00%
/heavy-irregular-periods/,68.102.65.122,1,1,0:00:00,0,0.00%,100.00%
/hot-flashes/,68.102.65.122,1,1,0:02:07,0,0.00%,0.00%
/low-sex-drive/,68.102.65.122,1,1,0:01:24,0,0.00%,0.00%
/pelvic-floor-physical-therapy/,68.102.65.122,1,1,0:01:42,0,0.00%,0.00%
/symptoms-landing-page/,68.102.65.122,1,1,0:00:43,0,0.00%,0.00%
/treatments/,68.102.65.122,1,1,0:00:22,0,0.00%,0.00%
/weight-gain/,68.102.65.122,1,1,0:01:43,0,0.00%,0.00%
/,68.132.107.8,2,1,0:01:15,1,0.00%,0.00%
/am-i-in-menopause/,68.132.107.8,2,1,0:00:39,0,0.00%,0.00%
/create-my-menoplan/,68.132.107.8,1,1,0:06:53,0,0.00%,0.00%
