Page,IP Address,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/sleep-problems-insomnia/,98.174.82.34,1,1,0:00:29,0,0.00%,0.00%,$0.00 
/symptoms-landing-page/,98.174.82.34,5,1,0:00:37,0,0.00%,0.00%,$0.00 
/weight-gain/,98.174.82.34,1,1,0:01:28,0,0.00%,0.00%,$0.00 
/womens-stories/,98.174.82.34,1,1,0:04:31,0,0.00%,0.00%,$0.00 
/,98.165.150.193,3,1,0:01:47,1,0.00%,0.00%,$0.00 
/am-i-in-menopause/,98.165.150.193,1,1,0:00:00,0,0.00%,100.00%,$0.00 
/create-my-menoplan/,98.165.150.193,3,1,0:00:54,0,0.00%,0.00%,$0.00 
/hormone-therapy/,98.165.150.193,1,1,0:00:54,0,0.00%,0.00%,$0.00 
/vaginal-estrogen/,98.165.150.193,1,1,0:01:25,0,0.00%,0.00%,$0.00 
/,98.156.87.134,1,1,0:00:21,1,0.00%,0.00%,$0.00 
/symptoms-landing-page/,98.156.87.134,1,1,0:00:00,0,0.00%,100.00%,$0.00 
/,98.152.32.83,2,2,0:00:21,2,50.00%,50.00%,$0.00 
/am-i-in-menopause/,98.152.32.83,1,1,0:01:42,0,0.00%,0.00%,$0.00 
/clinical-hypnosis/,98.152.32.83,1,1,0:00:00,0,0.00%,100.00%,$0.00 
/create-my-menoplan/,98.152.32.83,1,1,0:05:57,0,0.00%,0.00%,$0.00 
/dealing-with-brain-fog/,98.152.32.83,1,1,0:01:05,0,0.00%,0.00%,$0.00 
/,98.148.91.153,2,1,0:01:33,1,0.00%,50.00%,$0.00 
/create-my-menoplan/,98.148.91.153,1,1,0:09:48,0,0.00%,0.00%,$0.00 
/,98.148.192.63,1,1,0:00:09,1,0.00%,0.00%,$0.00 
/am-i-in-menopause/,98.148.192.63,1,1,0:00:00,0,0.00%,100.00%,$0.00 
/symptoms-landing-page/,98.148.192.63,1,1,0:00:53,0,0.00%,0.00%,$0.00 
/,98.146.203.152,1,1,0:01:10,1,0.00%,0.00%,$0.00 
/create-my-menoplan/,98.146.203.152,1,1,0:01:57,0,0.00%,0.00%,$0.00 
/hot-flashes/,98.146.203.152,1,1,0:00:00,0,0.00%,100.00%,$0.00 
/,98.144.226.183,1,1,0:00:00,1,100.00%,100.00%,$0.00 
/,98.118.116.178,1,1,0:00:12,1,0.00%,0.00%,$0.00 
/bladder-control-problems/,98.118.116.178,1,1,0:00:00,0,0.00%,100.00%,$0.00 
/symptoms-landing-page/,98.118.116.178,1,1,0:00:30,0,0.00%,0.00%,$0.00 
/,98.10.243.160,3,1,0:00:44,1,0.00%,33.33%,$0.00 
/am-i-in-menopause/,98.10.243.160,1,1,0:00:51,0,0.00%,0.00%,$0.00 
/staying-healthy-in-midlife/,98.10.243.160,1,1,0:00:32,0,0.00%,0.00%,$0.00 
/,97.91.169.33,2,1,0:01:12,1,0.00%,0.00%,$0.00 
/about/,97.91.169.33,1,1,0:00:16,0,0.00%,0.00%,$0.00 
/create-my-menoplan/,97.91.169.33,1,1,0:00:00,0,0.00%,100.00%,$0.00 
/,97.121.167.37,3,1,0:00:07,1,0.00%,33.33%,$0.00 
/create-my-menoplan/,97.121.167.37,1,1,0:01:47,0,0.00%,0.00%,$0.00 
/sedatives/,97.121.167.37,1,1,0:00:22,0,0.00%,0.00%,$0.00 
/ssris-and-snris/,97.121.167.37,1,1,0:03:03,0,0.00%,0.00%,$0.00 
/symptoms-landing-page/,97.121.167.37,2,1,0:00:29,0,0.00%,0.00%,$0.00 
/treatment-template-shorter-table-of-contents-2/,97.121.167.37,1,1,0:00:26,0,0.00%,0.00%,$0.00 
/vaginal-lubricants-and-moisturizers/,97.121.167.37,1,1,0:01:18,0,0.00%,0.00%,$0.00 
/,97.118.240.175,1,1,0:00:00,1,100.00%,100.00%,$0.00 
/,97.115.93.206,2,1,0:00:36,1,0.00%,0.00%,$0.00 
/am-i-in-menopause/,97.115.93.206,2,1,0:03:04,0,0.00%,50.00%,$0.00 
/our-team/,97.115.93.206,1,1,0:00:38,0,0.00%,0.00%,$0.00 
/,97.113.35.1,2,1,0:00:39,1,0.00%,0.00%,$0.00 
/am-i-in-menopause/,97.113.35.1,1,1,0:00:49,0,0.00%,0.00%,$0.00 
/symptoms-landing-page/,97.113.35.1,1,1,0:00:00,0,0.00%,100.00%,$0.00 
/,97.102.31.226,1,1,0:00:09,1,0.00%,0.00%,$0.00 
/clonidine/,97.102.31.226,1,1,0:00:07,0,0.00%,0.00%,$0.00 
/heavy-irregular-periods/,97.102.31.226,1,1,0:00:32,0,0.00%,0.00%,$0.00 
/hot-flashes/,97.102.31.226,2,1,0:01:08,0,0.00%,0.00%,$0.00 
/low-sex-drive/,97.102.31.226,1,1,0:01:35,0,0.00%,0.00%,$0.00 
/mood-depression-anxiety/,97.102.31.226,1,1,0:01:17,0,0.00%,0.00%,$0.00 
/pain-with-sex/,97.102.31.226,1,1,0:00:42,0,0.00%,0.00%,$0.00 
/sleep-problems-insomnia/,97.102.31.226,1,1,0:01:01,0,0.00%,0.00%,$0.00 
/symptoms-landing-page/,97.102.31.226,8,1,0:00:09,0,0.00%,0.00%,$0.00 
/treatments/,97.102.31.226,1,1,0:00:00,0,0.00%,100.00%,$0.00 
/weight-gain/,97.102.31.226,1,1,0:00:56,0,0.00%,0.00%,$0.00 
/,96.61.82.208,1,1,0:00:53,1,0.00%,0.00%,$0.00 
/avoiding-triggers/,96.61.82.208,1,1,0:00:32,0,0.00%,0.00%,$0.00 
/hot-flashes/,96.61.82.208,1,1,0:00:55,0,0.00%,0.00%,$0.00 
/ssris-and-snris/,96.61.82.208,1,1,0:00:44,0,0.00%,0.00%,$0.00 
/treatments/,96.61.82.208,2,1,0:00:12,0,0.00%,0.00%,$0.00 
/vaginal-dilators/,96.61.82.208,1,1,0:00:00,0,0.00%,100.00%,$0.00 
/womens-stories/,96.61.82.208,1,1,0:02:11,0,0.00%,0.00%,$0.00 
/,96.42.25.209,1,1,0:00:24,1,0.00%,0.00%,$0.00 
/low-sex-drive/,96.42.25.209,1,1,0:00:00,0,0.00%,100.00%,$0.00 
/symptoms-landing-page/,96.42.25.209,1,1,0:00:19,0,0.00%,0.00%,$0.00 
/,96.41.202.198,2,2,0:00:08,2,0.00%,0.00%,$0.00 
/am-i-in-menopause/,96.41.202.198,2,1,0:00:47,0,0.00%,0.00%,$0.00 
/create-my-menoplan/,96.41.202.198,1,1,0:00:00,0,0.00%,100.00%,$0.00 
/heavy-irregular-periods/,96.41.202.198,1,1,0:02:08,0,0.00%,0.00%,$0.00 
/hot-flashes/,96.41.202.198,1,1,0:01:08,0,0.00%,0.00%,$0.00 
/sleep-problems-insomnia/,96.41.202.198,2,1,0:00:25,0,0.00%,0.00%,$0.00 
/symptoms-landing-page/,96.41.202.198,4,1,0:00:11,0,0.00%,25.00%,$0.00 
/test/insomnia-severity-index/,96.41.202.198,2,1,0:00:22,0,0.00%,0.00%,$0.00 
/test/insomnia-severity-index/5lc356e332f1abf460441a7d62a94d3463/,96.41.202.198,1,1,0:00:06,0,0.00%,0.00%,$0.00 
/,96.29.3.249,1,1,0:01:44,1,0.00%,0.00%,$0.00 
/am-i-in-menopause/,96.29.3.249,2,1,0:00:54,0,0.00%,50.00%,$0.00 
/bladder-control-problems/,96.29.3.249,1,1,0:01:32,0,0.00%,0.00%,$0.00 
/cooling-techniques/,96.29.3.249,1,1,0:01:34,0,0.00%,0.00%,$0.00 
/create-my-menoplan/,96.29.3.249,2,1,0:03:28,0,0.00%,0.00%,$0.00 
/hot-flashes/,96.29.3.249,1,1,0:02:52,0,0.00%,0.00%,$0.00 
/sleep-problems-insomnia/,96.29.3.249,1,1,0:01:07,0,0.00%,0.00%,$0.00 
/symptoms-landing-page/,96.29.3.249,3,1,0:00:14,0,0.00%,0.00%,$0.00 
/,96.252.109.126,1,1,0:00:54,1,0.00%,0.00%,$0.00 
/am-i-in-menopause/,96.252.109.126,1,1,0:00:46,0,0.00%,0.00%,$0.00 
/brain-fog-cognitive-issues/,96.252.109.126,1,1,0:01:17,0,0.00%,0.00%,$0.00 
/create-my-menoplan/,96.252.109.126,2,1,0:00:40,0,0.00%,0.00%,$0.00 
/dealing-with-dry-eyes/,96.252.109.126,1,1,0:02:31,0,0.00%,0.00%,$0.00 
/gabapentin-and-pregabalin/,96.252.109.126,1,1,0:00:35,0,0.00%,0.00%,$0.00 
/heavy-irregular-periods/,96.252.109.126,1,1,0:02:54,0,0.00%,0.00%,$0.00 
/our-story/,96.252.109.126,1,1,0:00:00,0,0.00%,100.00%,$0.00 
/treatments/,96.252.109.126,1,1,0:00:32,0,0.00%,0.00%,$0.00 
/vagina-pain-dryness-not-during-sex/,96.252.109.126,1,1,0:00:48,0,0.00%,0.00%,$0.00 
/what-if-im-transgender-or-nonbinary/,96.252.109.126,1,1,0:03:23,0,0.00%,0.00%,$0.00 
/womens-stories/,96.252.109.126,1,1,0:03:47,0,0.00%,0.00%,$0.00 
/paced-breathing/,90.62.80.149,1,1,0:00:00,1,100.00%,100.00%,$0.00 
/,78.19.76.54,1,1,0:00:00,1,100.00%,100.00%,$0.00 
/,76.27.175.82,1,1,0:00:09,1,0.00%,0.00%,$0.00 
/symptoms-landing-page/,76.27.175.82,1,1,0:00:00,0,0.00%,100.00%,$0.00 
/,76.26.54.57,2,1,0:01:09,1,0.00%,0.00%,$0.00 
/am-i-in-menopause/,76.26.54.57,1,1,0:00:54,0,0.00%,0.00%,$0.00 
/create-my-menoplan/,76.26.54.57,1,1,0:00:07,0,0.00%,0.00%,$0.00 
/exercise/,76.26.54.57,1,1,0:04:18,0,0.00%,0.00%,$0.00 
/mood-depression-anxiety/,76.26.54.57,1,1,0:00:06,0,0.00%,0.00%,$0.00 
/sleep-problems-insomnia/,76.26.54.57,1,1,0:00:16,0,0.00%,0.00%,$0.00 
/staying-healthy-in-midlife/,76.26.54.57,1,1,0:01:42,0,0.00%,0.00%,$0.00 
/symptoms-landing-page/,76.26.54.57,1,1,0:00:18,0,0.00%,0.00%,$0.00 
/test/anxiety-assessment/,76.26.54.57,1,1,0:00:00,0,0.00%,100.00%,$0.00 
/,76.25.77.216,1,1,0:01:29,1,0.00%,0.00%,$0.00 
/am-i-in-menopause/,76.25.77.216,1,1,0:01:11,0,0.00%,0.00%,$0.00 
/create-my-menoplan/,76.25.77.216,1,1,0:00:00,0,0.00%,100.00%,$0.00 
/gabapentin-and-pregabalin/,76.25.77.216,1,1,0:00:22,0,0.00%,0.00%,$0.00 
/hot-flashes/,76.25.77.216,2,1,0:00:45,0,0.00%,0.00%,$0.00 
/questions-and-answers/,76.25.77.216,2,1,0:01:34,0,0.00%,0.00%,$0.00 
/,76.24.190.225,1,1,0:06:48,1,0.00%,0.00%,$0.00 
/contact/,76.24.190.225,1,1,0:00:00,0,0.00%,100.00%,$0.00 
/our-story/,76.24.190.225,1,1,0:00:06,0,0.00%,0.00%,$0.00 
/who-we-are/,76.24.190.225,1,1,0:00:13,0,0.00%,0.00%,$0.00 
/womens-stories/,76.24.190.225,1,1,0:00:49,0,0.00%,0.00%,$0.00 
/,76.206.56.238,1,1,0:00:00,1,100.00%,100.00%,$0.00 
/,76.191.19.153,1,1,0:00:19,1,0.00%,0.00%,$0.00 
/am-i-in-menopause/,76.191.19.153,2,1,0:01:13,0,0.00%,50.00%,$0.00 
/,76.120.172.6,1,1,0:00:10,1,0.00%,0.00%,$0.00 
/create-my-menoplan/,76.120.172.6,1,1,0:00:00,0,0.00%,100.00%,$0.00 
/,76.118.85.20,1,1,0:00:00,1,100.00%,100.00%,$0.00 
/,76.106.2.217,1,1,0:00:21,1,0.00%,0.00%,$0.00 
/create-my-menoplan/,76.106.2.217,2,1,0:03:00,0,0.00%,50.00%,$0.00 
/gabapentin-and-pregabalin/,76.106.2.217,1,1,0:01:21,0,0.00%,0.00%,$0.00 
/,75.97.179.218,1,1,0:00:14,1,0.00%,0.00%,$0.00 
/create-my-menoplan/,75.97.179.218,1,1,0:01:12,0,0.00%,0.00%,$0.00 
/hot-flashes/,75.97.179.218,2,1,0:01:10,0,0.00%,50.00%,$0.00 
/symptoms-landing-page/,75.97.179.218,1,1,0:00:23,0,0.00%,0.00%,$0.00 
/,75.89.200.130,2,1,0:00:38,1,0.00%,0.00%,$0.00 
/about/,75.89.200.130,2,1,0:00:07,0,0.00%,0.00%,$0.00 
/am-i-in-menopause/,75.89.200.130,1,1,0:00:55,0,0.00%,0.00%,$0.00 
/create-my-menoplan/,75.89.200.130,1,1,0:00:00,0,0.00%,100.00%,$0.00 
/vaginal-estrogen/,75.80.176.45,1,1,0:00:00,1,100.00%,100.00%,$0.00 
/,75.58.42.195,1,1,0:00:40,1,0.00%,0.00%,$0.00 
/bladder-control-problems/,75.58.42.195,1,1,0:01:46,0,0.00%,0.00%,$0.00 
/brain-fog-cognitive-issues/,75.58.42.195,1,1,0:00:46,0,0.00%,0.00%,$0.00 
/create-my-menoplan/,75.58.42.195,1,1,0:00:00,0,0.00%,100.00%,$0.00 
/dealing-with-dry-hair-skin/,75.58.42.195,1,1,0:00:54,0,0.00%,0.00%,$0.00 
/dry-eyes/,75.58.42.195,1,1,0:01:08,0,0.00%,0.00%,$0.00 
/dry-hair-skin/,75.58.42.195,3,1,0:00:12,0,0.00%,0.00%,$0.00 
/heavy-irregular-periods/,75.58.42.195,1,1,0:01:12,0,0.00%,0.00%,$0.00 
/hot-flashes/,75.58.42.195,1,1,0:01:02,0,0.00%,0.00%,$0.00 
/low-sex-drive/,75.58.42.195,1,1,0:00:53,0,0.00%,0.00%,$0.00 
/mood-depression-anxiety/,75.58.42.195,1,1,0:00:50,0,0.00%,0.00%,$0.00 
/sedatives/,75.58.42.195,1,1,0:00:47,0,0.00%,0.00%,$0.00 
/sleep-problems-insomnia/,75.58.42.195,2,1,0:00:18,0,0.00%,0.00%,$0.00 
/symptoms-landing-page/,75.58.42.195,10,1,0:00:10,0,0.00%,0.00%,$0.00 
/weight-gain/,75.58.42.195,1,1,0:03:03,0,0.00%,0.00%,$0.00 
/vaginal-laser-therapy/,75.190.11.196,1,1,0:00:00,1,100.00%,100.00%,$0.00 
