Event Label,IP Address,Total Events,Unique Events,Event Value,Avg. Value
try-on-your-own,24.143.241.24,1,1,0,0
mind-body,24.154.107.20,1,1,0,0
only-treatments-known-to-work,24.154.107.20,1,1,0,0
professional-help,24.154.107.20,1,1,0,0
try-on-your-own,24.154.107.20,1,1,0,0
mind-body,24.169.87.10,1,1,0,0
ok-for-breast-cancer,24.169.87.10,1,1,0,0
try-on-your-own,24.169.87.10,1,1,0,0
only-treatments-known-to-work,24.186.210.13,2,1,0,0
try-on-your-own,24.186.210.13,1,1,0,0
mind-body,24.190.32.242,1,1,0,0
only-treatments-known-to-work,24.190.32.242,1,1,0,0
try-on-your-own,24.190.32.242,1,1,0,0
only-treatments-known-to-work,24.192.5.2,1,1,0,0
only-treatments-known-to-work,24.233.109.99,1,1,0,0
try-on-your-own,24.233.109.99,1,1,0,0
only-treatments-known-to-work,24.240.58.192,1,1,0,0
try-on-your-own,24.250.15.34,1,1,0,0
ok-for-breast-cancer,24.250.245.66,1,1,0,0
mind-body,24.7.183.2,1,1,0,0
only-treatments-known-to-work,24.7.183.2,1,1,0,0
try-on-your-own,24.7.183.2,1,1,0,0
only-treatments-known-to-work,45.51.188.202,2,1,0,0
try-on-your-own,45.51.188.202,2,1,0,0
mind-body,47.26.135.230,1,1,0,0
only-treatments-known-to-work,47.26.135.230,1,1,0,0
professional-help,47.26.135.230,1,1,0,0
try-on-your-own,47.26.135.230,1,1,0,0
only-treatments-known-to-work,50.122.27.199,1,1,0,0
professional-help,50.122.27.199,4,1,0,0
only-treatments-known-to-work,50.25.0.72,1,1,0,0
only-treatments-known-to-work,50.82.40.47,1,1,0,0
try-on-your-own,50.82.40.47,1,1,0,0
mind-body,63.142.197.59,1,1,0,0
ok-for-breast-cancer,63.142.197.59,1,1,0,0
only-treatments-known-to-work,63.142.197.59,1,1,0,0
professional-help,63.142.197.59,1,1,0,0
try-on-your-own,63.142.197.59,1,1,0,0
mind-body,64.127.165.14,1,1,0,0
only-treatments-known-to-work,64.127.165.14,1,1,0,0
professional-help,64.127.165.14,1,1,0,0
try-on-your-own,64.127.165.14,1,1,0,0
mind-body,64.251.147.224,1,1,0,0
only-treatments-known-to-work,64.251.147.224,1,1,0,0
try-on-your-own,64.251.147.224,1,1,0,0
only-treatments-known-to-work,65.131.24.176,1,1,0,0
try-on-your-own,65.191.169.190,1,1,0,0
try-on-your-own,66.10.244.242,1,1,0,0
mind-body,66.220.238.147,1,1,0,0
only-treatments-known-to-work,66.220.238.147,1,1,0,0
try-on-your-own,66.220.238.147,1,1,0,0
try-on-your-own,67.1.16.127,1,1,0,0
mind-body,67.10.30.123,1,1,0,0
professional-help,67.10.30.123,1,1,0,0
try-on-your-own,67.10.30.123,1,1,0,0
only-treatments-known-to-work,67.188.101.116,1,1,0,0
try-on-your-own,67.188.101.116,1,1,0,0
only-treatments-known-to-work,67.3.99.123,3,1,0,0
mind-body,67.43.240.171,1,1,0,0
only-treatments-known-to-work,67.43.240.171,1,1,0,0
professional-help,67.43.240.171,1,1,0,0
try-on-your-own,67.43.240.171,1,1,0,0
mind-body,67.82.145.227,1,1,0,0
try-on-your-own,67.82.145.227,1,1,0,0
try-on-your-own,68.10.108.230,1,1,0,0
mind-body,68.105.132.94,1,1,0,0
only-treatments-known-to-work,68.105.132.94,1,1,0,0
try-on-your-own,68.105.132.94,1,1,0,0
mind-body,68.171.180.200,1,1,0,0
try-on-your-own,68.171.180.200,1,1,0,0
mind-body,68.231.177.192,1,1,0,0
try-on-your-own,68.231.177.192,1,1,0,0
mind-body,68.37.167.213,3,1,0,0
ok-for-breast-cancer,68.37.167.213,2,1,0,0
only-treatments-known-to-work,68.37.167.213,5,1,0,0
professional-help,68.37.167.213,3,1,0,0
try-on-your-own,68.37.167.213,5,1,0,0
only-treatments-known-to-work,68.82.200.161,1,1,0,0
try-on-your-own,68.82.200.161,1,1,0,0
mind-body,68.93.4.230,1,1,0,0
only-treatments-known-to-work,68.93.4.230,1,1,0,0
try-on-your-own,68.93.4.230,1,1,0,0
only-treatments-known-to-work,70.162.176.142,5,1,0,0
professional-help,70.162.176.142,2,1,0,0
try-on-your-own,70.162.176.142,5,1,0,0
mind-body,70.162.20.98,1,1,0,0
professional-help,70.162.20.98,2,1,0,0
mind-body,70.170.52.38,1,1,0,0
only-treatments-known-to-work,70.170.52.38,1,1,0,0
try-on-your-own,70.170.52.38,1,1,0,0
ok-for-breast-cancer,70.172.5.170,1,1,0,0
only-treatments-known-to-work,70.172.5.170,1,1,0,0
try-on-your-own,70.172.5.170,1,1,0,0
mind-body,70.187.28.91,1,1,0,0
only-treatments-known-to-work,70.187.28.91,1,1,0,0
try-on-your-own,70.187.28.91,1,1,0,0
try-on-your-own,70.35.188.49,1,1,0,0
mind-body,70.94.78.192,1,1,0,0
only-treatments-known-to-work,70.94.78.192,1,1,0,0
try-on-your-own,70.94.78.192,1,1,0,0
try-on-your-own,71.192.14.0,1,1,0,0
mind-body,71.213.45.87,1,1,0,0
try-on-your-own,71.213.45.87,1,1,0,0
ok-for-breast-cancer,71.214.48.85,1,1,0,0
try-on-your-own,71.214.48.85,1,1,0,0
mind-body,71.223.238.5,1,1,0,0
only-treatments-known-to-work,71.223.238.5,1,1,0,0
try-on-your-own,71.223.238.5,1,1,0,0
professional-help,71.227.107.130,1,1,0,0
try-on-your-own,71.227.107.130,1,1,0,0
only-treatments-known-to-work,71.237.252.165,1,1,0,0
professional-help,71.237.252.165,1,1,0,0
try-on-your-own,71.237.252.165,1,1,0,0
ok-for-breast-cancer,71.238.34.51,1,1,0,0
try-on-your-own,71.255.32.18,1,1,0,0
only-treatments-known-to-work,71.81.210.174,3,1,0,0
professional-help,71.81.210.174,2,1,0,0
try-on-your-own,71.81.210.174,2,1,0,0
mind-body,71.91.163.56,4,1,0,0
only-treatments-known-to-work,71.91.163.56,5,1,0,0
try-on-your-own,71.91.163.56,4,1,0,0
mind-body,72.196.151.16,1,1,0,0
ok-for-breast-cancer,72.196.151.16,2,1,0,0
only-treatments-known-to-work,72.196.151.16,1,1,0,0
professional-help,72.196.151.16,1,1,0,0
try-on-your-own,72.196.151.16,1,1,0,0
mind-body,72.202.206.47,1,1,0,0
professional-help,72.202.206.47,1,1,0,0
try-on-your-own,72.202.206.47,1,1,0,0
mind-body,72.230.71.244,1,1,0,0
only-treatments-known-to-work,72.230.71.244,1,1,0,0
try-on-your-own,72.230.71.244,1,1,0,0
mind-body,72.74.219.122,1,1,0,0
ok-for-breast-cancer,72.74.219.122,1,1,0,0
only-treatments-known-to-work,72.74.219.122,1,1,0,0
professional-help,72.74.219.122,1,1,0,0
only-treatments-known-to-work,73.109.56.253,1,1,0,0
mind-body,73.11.8.10,2,2,0,0
ok-for-breast-cancer,73.11.8.10,2,1,0,0
only-treatments-known-to-work,73.11.8.10,5,2,0,0
professional-help,73.11.8.10,1,1,0,0
try-on-your-own,73.11.8.10,2,2,0,0
only-treatments-known-to-work,73.121.213.202,1,1,0,0
mind-body,73.147.52.48,1,1,0,0
ok-for-breast-cancer,73.147.52.48,1,1,0,0
only-treatments-known-to-work,73.147.52.48,1,1,0,0
professional-help,73.147.52.48,1,1,0,0
try-on-your-own,73.147.52.48,1,1,0,0
mind-body,73.175.215.190,1,1,0,0
only-treatments-known-to-work,73.175.215.190,1,1,0,0
professional-help,73.175.215.190,1,1,0,0
only-treatments-known-to-work,73.182.217.127,1,1,0,0
mind-body,73.37.13.59,1,1,0,0
only-treatments-known-to-work,73.37.13.59,1,1,0,0
try-on-your-own,73.37.13.59,1,1,0,0
only-treatments-known-to-work,73.48.241.8,1,1,0,0
professional-help,73.48.241.8,1,1,0,0
try-on-your-own,73.48.241.8,1,1,0,0
only-treatments-known-to-work,73.81.166.10,2,1,0,0
try-on-your-own,73.81.166.10,1,1,0,0
mind-body,73.90.207.79,2,1,0,0
only-treatments-known-to-work,73.90.207.79,4,1,0,0
professional-help,73.90.207.79,2,1,0,0
try-on-your-own,73.90.207.79,5,1,0,0
mind-body,73.94.72.118,2,1,0,0
professional-help,73.94.72.118,2,1,0,0
try-on-your-own,73.94.72.118,2,1,0,0
only-treatments-known-to-work,74.111.182.17,1,1,0,0
try-on-your-own,74.111.182.17,1,1,0,0
only-treatments-known-to-work,74.134.88.28,1,1,0,0
only-treatments-known-to-work,74.138.83.223,1,1,0,0
try-on-your-own,74.138.83.223,1,1,0,0
professional-help,74.199.76.172,1,1,0,0
try-on-your-own,74.199.76.172,1,1,0,0
try-on-your-own,75.111.145.77,6,1,0,0
mind-body,75.117.168.206,1,1,0,0
only-treatments-known-to-work,75.164.248.79,2,1,0,0
try-on-your-own,75.172.55.60,1,1,0,0
mind-body,75.175.104.136,1,1,0,0
only-treatments-known-to-work,75.175.104.136,1,1,0,0
professional-help,75.175.104.136,1,1,0,0
try-on-your-own,75.175.104.136,1,1,0,0
try-on-your-own,75.187.124.48,1,1,0,0
mind-body,75.187.42.179,1,1,0,0
try-on-your-own,75.187.42.179,1,1,0,0
only-treatments-known-to-work,75.188.45.72,1,1,0,0
mind-body,75.21.235.253,1,1,0,0
only-treatments-known-to-work,75.21.235.253,1,1,0,0
professional-help,75.21.235.253,1,1,0,0
try-on-your-own,75.21.235.253,1,1,0,0
mind-body,75.58.42.195,1,1,0,0
professional-help,75.58.42.195,1,1,0,0
try-on-your-own,75.58.42.195,1,1,0,0
try-on-your-own,75.89.200.130,1,1,0,0
only-treatments-known-to-work,75.97.179.218,1,1,0,0
only-treatments-known-to-work,76.106.2.217,2,1,0,0
try-on-your-own,76.106.2.217,2,1,0,0
mind-body,76.108.73.56,2,1,0,0
try-on-your-own,76.108.73.56,4,1,0,0
mind-body,76.120.172.6,1,1,0,0
only-treatments-known-to-work,76.120.172.6,1,1,0,0
only-treatments-known-to-work,76.172.66.181,1,1,0,0
professional-help,76.172.66.181,1,1,0,0
mind-body,96.252.109.126,1,1,0,0
only-treatments-known-to-work,96.252.109.126,1,1,0,0
professional-help,96.252.109.126,1,1,0,0
try-on-your-own,96.252.109.126,1,1,0,0
try-on-your-own,96.41.202.198,1,1,0,0
mind-body,97.121.167.37,1,1,0,0
only-treatments-known-to-work,97.121.167.37,1,1,0,0
try-on-your-own,97.121.167.37,1,1,0,0
only-treatments-known-to-work,97.83.172.247,2,1,0,0
professional-help,97.83.172.247,2,1,0,0
try-on-your-own,97.83.172.247,2,1,0,0
mind-body,97.86.226.143,1,1,0,0
only-treatments-known-to-work,98.146.203.152,1,1,0,0
try-on-your-own,98.146.203.152,1,1,0,0
mind-body,98.174.82.34,1,1,0,0
try-on-your-own,98.174.82.34,1,1,0,0
mind-body,98.181.6.74,2,1,0,0
ok-for-breast-cancer,98.181.6.74,2,1,0,0
only-treatments-known-to-work,98.181.6.74,2,1,0,0
professional-help,98.181.6.74,2,1,0,0
try-on-your-own,98.181.6.74,2,1,0,0
mind-body,98.204.252.212,1,1,0,0
try-on-your-own,98.204.252.212,1,1,0,0
mind-body,98.207.138.26,1,1,0,0
only-treatments-known-to-work,98.207.138.26,1,1,0,0
professional-help,98.207.138.26,1,1,0,0
try-on-your-own,98.207.138.26,1,1,0,0
try-on-your-own,98.22.203.135,1,1,0,0
only-treatments-known-to-work,98.222.110.65,1,1,0,0
try-on-your-own,98.222.110.65,1,1,0,0
professional-help,98.222.57.206,1,1,0,0
try-on-your-own,98.222.57.206,1,1,0,0
only-treatments-known-to-work,98.23.209.26,1,1,0,0
try-on-your-own,98.23.209.26,1,1,0,0
mind-body,98.4.93.222,1,1,0,0
try-on-your-own,98.4.93.222,1,1,0,0
only-treatments-known-to-work,98.40.10.88,1,1,0,0
professional-help,99.102.165.93,1,1,0,0
try-on-your-own,99.102.165.93,1,1,0,0
mind-body,99.108.235.167,1,1,0,0
try-on-your-own,99.108.235.167,1,1,0,0
try-on-your-own,99.113.109.28,1,1,0,0
try-on-your-own,99.122.61.62,1,1,0,0
only-treatments-known-to-work,99.185.57.102,1,1,0,0
try-on-your-own,99.32.58.89,1,1,0,0
mind-body,99.44.25.230,2,1,0,0
try-on-your-own,99.44.25.230,2,1,0,0
mind-body,99.54.138.36,1,1,0,0
professional-help,99.54.138.36,1,1,0,0
try-on-your-own,99.54.138.36,1,1,0,0
try-on-your-own,99.7.30.41,1,1,0,0
only-treatments-known-to-work,99.8.85.105,1,1,0,0
try-on-your-own,99.8.85.105,1,1,0,0
mind-body,99.82.254.180,1,1,0,0
try-on-your-own,99.82.254.180,1,1,0,0
try-on-your-own,99.93.208.84,1,1,0,0
,,540,418,0,0
,,,,,
Day Index,Total Events,,,,
9/23/2021,56,,,,
9/24/2021,37,,,,
9/25/2021,59,,,,
9/26/2021,115,,,,
9/27/2021,40,,,,
9/28/2021,15,,,,
9/29/2021,3,,,,
9/30/2021,32,,,,
10/1/2021,17,,,,
10/2/2021,38,,,,
10/3/2021,15,,,,
10/4/2021,11,,,,
10/5/2021,0,,,,
10/6/2021,23,,,,
10/7/2021,29,,,,
10/8/2021,10,,,,
10/9/2021,14,,,,
10/10/2021,10,,,,
10/11/2021,0,,,,
10/12/2021,2,,,,
10/13/2021,0,,,,
10/14/2021,0,,,,
10/15/2021,0,,,,
10/16/2021,6,,,,
10/17/2021,15,,,,
10/18/2021,0,,,,
10/19/2021,0,,,,
10/20/2021,10,,,,
10/21/2021,17,,,,
10/22/2021,25,,,,
10/23/2021,27,,,,
10/24/2021,3,,,,
10/25/2021,0,,,,
10/26/2021,0,,,,
10/27/2021,0,,,,
10/28/2021,0,,,,
10/29/2021,0,,,,
10/30/2021,0,,,,
10/31/2021,0,,,,
11/1/2021,0,,,,
11/2/2021,0,,,,
,629,,,,
