Page,IP Address,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/symptoms-landing-page/,174.211.129.240,6,1,0:00:14,0,0.00%,0.00%,$0.00 
/symptoms-landing-page/,70.162.176.142,6,1,0:00:14,0,0.00%,0.00%,$0.00 
/symptoms-landing-page/,70.187.28.91,6,1,0:00:09,0,0.00%,0.00%,$0.00 
/symptoms-landing-page/,74.213.203.196,6,1,0:01:07,0,0.00%,0.00%,$0.00 
/,147.92.18.9,5,1,0:00:19,1,0.00%,20.00%,$0.00 
/,209.107.179.56,5,2,0:00:13,2,50.00%,40.00%,$0.00 
/,66.220.238.147,5,1,0:00:31,1,0.00%,0.00%,$0.00 
/,98.222.57.206,5,2,0:01:43,2,50.00%,20.00%,$0.00 
/about/,147.92.18.9,5,1,0:00:13,0,0.00%,0.00%,$0.00 
/am-i-in-menopause/,71.45.41.119,5,1,0:04:00,0,0.00%,0.00%,$0.00 
/am-i-in-menopause/,72.188.247.175,5,1,0:01:45,0,0.00%,0.00%,$0.00 
/create-my-menoplan/,108.234.124.199,5,1,0:01:30,0,0.00%,20.00%,$0.00 
/create-my-menoplan/,174.242.81.27,5,1,0:01:19,0,0.00%,0.00%,$0.00 
/create-my-menoplan/,67.184.189.126,5,1,0:00:42,0,0.00%,0.00%,$0.00 
/create-my-menoplan/,73.11.8.10,5,4,0:04:57,1,0.00%,40.00%,$0.00 
/questions-and-answers/,172.58.139.36,5,1,0:01:17,0,0.00%,20.00%,$0.00 
/strategies-to-talk-with-your-doctor/,24.17.167.82,5,5,0:00:00,5,100.00%,100.00%,$0.00 
/symptoms-landing-page/,107.242.113.64,5,2,0:01:13,1,0.00%,0.00%,$0.00 
/symptoms-landing-page/,172.56.42.95,5,1,0:00:20,0,0.00%,0.00%,$0.00 
/symptoms-landing-page/,184.62.130.147,5,1,0:00:10,0,0.00%,0.00%,$0.00 
/symptoms-landing-page/,70.235.130.102,5,1,0:00:12,0,0.00%,0.00%,$0.00 
/symptoms-landing-page/,71.182.170.133,5,1,0:00:59,0,0.00%,0.00%,$0.00 
/symptoms-landing-page/,73.136.94.35,5,1,0:00:16,0,0.00%,20.00%,$0.00 
/symptoms-landing-page/,98.174.82.34,5,1,0:00:37,0,0.00%,0.00%,$0.00 
/symptoms-landing-page/,99.196.242.50,5,1,0:00:25,0,0.00%,0.00%,$0.00 
/treatments/,24.194.226.86,5,1,0:00:04,0,0.00%,0.00%,$0.00 
/treatments/,70.175.75.192,5,1,0:00:10,0,0.00%,0.00%,$0.00 
/treatments/,98.30.218.60,5,1,0:00:11,0,0.00%,0.00%,$0.00 
/,100.1.197.247,4,2,0:01:34,2,50.00%,25.00%,$0.00 
/,162.218.220.231,4,2,0:00:57,2,50.00%,50.00%,$0.00 
/,174.242.81.27,4,1,0:00:18,1,0.00%,25.00%,$0.00 
/,47.26.135.230,4,1,0:00:29,1,0.00%,0.00%,$0.00 
/,70.187.28.91,4,1,0:00:16,1,0.00%,0.00%,$0.00 
/,72.196.151.16,4,1,0:00:07,1,0.00%,0.00%,$0.00 
/,75.109.23.142,4,1,0:00:11,1,0.00%,0.00%,$0.00 
/about/,184.62.130.147,4,1,0:00:09,0,0.00%,0.00%,$0.00 
/am-i-in-menopause/,69.140.116.95,4,1,0:00:59,0,0.00%,0.00%,$0.00 
/create-my-menoplan/,64.127.165.14,4,1,0:02:41,0,0.00%,0.00%,$0.00 
/create-my-menoplan/,71.81.210.174,4,1,0:01:58,0,0.00%,0.00%,$0.00 
/dealing-with-physical-aches-pains/,68.37.167.213,4,1,0:02:21,0,0.00%,0.00%,$0.00 
/hot-flashes/,107.77.207.231,4,1,0:01:24,0,0.00%,0.00%,$0.00 
/hot-flashes/,172.58.139.108,4,1,0:00:51,0,0.00%,0.00%,$0.00 
/hot-flashes/,70.235.130.102,4,1,0:00:39,0,0.00%,0.00%,$0.00 
/mood-depression-anxiety/,172.58.19.143,4,1,0:01:03,0,0.00%,25.00%,$0.00 
/mood-depression-anxiety/,68.47.20.170,4,1,0:00:22,0,0.00%,0.00%,$0.00 
/staying-healthy-in-midlife/,172.221.114.222,4,1,0:02:19,0,0.00%,0.00%,$0.00 
/strategies-to-talk-with-your-doctor/,108.213.221.15,4,1,0:00:17,0,0.00%,25.00%,$0.00 
/symptoms-landing-page/,172.58.207.135,4,1,0:00:12,0,0.00%,0.00%,$0.00 
/symptoms-landing-page/,172.58.70.156,4,1,0:00:26,0,0.00%,0.00%,$0.00 
/symptoms-landing-page/,173.233.162.66,4,2,0:00:13,1,0.00%,0.00%,$0.00 
/symptoms-landing-page/,24.60.157.158,4,1,0:00:14,0,0.00%,0.00%,$0.00 
/symptoms-landing-page/,68.47.20.170,4,1,0:00:11,0,0.00%,0.00%,$0.00 
/symptoms-landing-page/,70.94.244.118,4,1,0:00:30,0,0.00%,0.00%,$0.00 
/symptoms-landing-page/,71.227.107.130,4,1,0:00:28,0,0.00%,0.00%,$0.00 
/symptoms-landing-page/,74.135.35.148,4,1,0:01:02,0,0.00%,25.00%,$0.00 
/symptoms-landing-page/,75.115.127.225,4,1,0:03:52,0,0.00%,0.00%,$0.00 
/symptoms-landing-page/,96.41.202.198,4,1,0:00:11,0,0.00%,25.00%,$0.00 
/treatments/,24.0.99.105,4,1,0:00:12,0,0.00%,0.00%,$0.00 
/treatments/,24.136.53.79,4,1,0:00:14,0,0.00%,0.00%,$0.00 
/treatments/,68.231.177.192,4,1,0:00:13,0,0.00%,0.00%,$0.00 
/treatments/,73.16.205.220,4,1,0:00:07,0,0.00%,0.00%,$0.00 
/treatments/,99.107.148.72,4,1,0:04:45,0,0.00%,0.00%,$0.00 
/womens-stories/,24.250.15.34,4,4,0:08:18,3,100.00%,75.00%,$0.00 
/,107.77.204.226,3,2,0:00:35,2,50.00%,33.33%,$0.00 
/,107.77.207.231,3,1,0:00:28,1,0.00%,33.33%,$0.00 
/,108.195.170.156,3,3,0:00:00,3,100.00%,100.00%,$0.00 
/,135.129.115.46,3,1,0:00:18,1,0.00%,0.00%,$0.00 
/,136.34.91.100,3,1,0:00:07,1,0.00%,0.00%,$0.00 
/,140.186.252.50,3,1,0:02:03,1,0.00%,0.00%,$0.00 
/,172.56.13.86,3,1,0:00:10,1,0.00%,0.00%,$0.00 
/,172.56.30.246,3,2,0:15:21,2,50.00%,66.67%,$0.00 
/,172.58.139.36,3,1,0:00:51,1,0.00%,0.00%,$0.00 
/,172.58.160.165,3,2,0:00:24,2,50.00%,33.33%,$0.00 
/,174.250.36.12,3,1,0:00:33,1,0.00%,0.00%,$0.00 
/,174.54.123.8,3,1,0:00:33,1,0.00%,0.00%,$0.00 
/,24.7.183.2,3,2,0:03:06,2,0.00%,33.33%,$0.00 
/,47.26.146.112,3,2,0:00:41,2,0.00%,33.33%,$0.00 
/,47.32.4.202,3,1,0:00:42,1,0.00%,33.33%,$0.00 
/,68.105.64.216,3,1,0:14:48,1,0.00%,33.33%,$0.00 
/,68.162.81.218,3,1,0:00:31,1,0.00%,33.33%,$0.00 
/,68.47.20.170,3,1,0:00:31,1,0.00%,0.00%,$0.00 
/,69.140.116.95,3,1,0:00:50,1,0.00%,33.33%,$0.00 
/,70.235.130.102,3,1,0:00:14,1,0.00%,33.33%,$0.00 
/,71.192.14.0,3,1,0:00:21,1,0.00%,0.00%,$0.00 
/,71.238.34.51,3,1,0:00:38,1,0.00%,33.33%,$0.00 
/,71.47.70.149,3,1,0:00:26,1,0.00%,33.33%,$0.00 
/,72.230.242.29,3,1,0:00:15,1,0.00%,0.00%,$0.00 
/,73.131.117.35,3,1,0:01:21,1,0.00%,0.00%,$0.00 
/,74.134.88.28,3,1,0:00:28,1,0.00%,0.00%,$0.00 
/,75.187.42.179,3,1,0:00:31,1,0.00%,0.00%,$0.00 
/,97.121.167.37,3,1,0:00:07,1,0.00%,33.33%,$0.00 
/,98.10.243.160,3,1,0:00:44,1,0.00%,33.33%,$0.00 
/,98.165.150.193,3,1,0:01:47,1,0.00%,0.00%,$0.00 
/,98.174.82.34,3,2,0:00:08,2,0.00%,33.33%,$0.00 
/,99.16.156.104,3,2,0:02:54,2,50.00%,66.67%,$0.00 
/,99.185.57.102,3,1,0:00:49,1,0.00%,0.00%,$0.00 
/?ae_live_scanner=true,54.201.37.197,3,3,0:00:05,0,0.00%,0.00%,$0.00 
/about/,54.201.37.197,3,3,0:00:11,0,0.00%,0.00%,$0.00 
/about/?ae_live_scanner=true,54.201.37.197,3,3,0:00:04,0,0.00%,0.00%,$0.00 
/am-i-in-menopause/,100.1.197.247,3,1,0:02:06,0,0.00%,33.33%,$0.00 
/am-i-in-menopause/,100.2.7.49,3,1,0:01:05,0,0.00%,0.00%,$0.00 
/am-i-in-menopause/,136.34.91.100,3,1,0:00:42,0,0.00%,0.00%,$0.00 
/am-i-in-menopause/,136.49.55.129,3,2,0:01:19,0,0.00%,66.67%,$0.00 
/am-i-in-menopause/,147.92.18.9,3,1,0:00:31,0,0.00%,0.00%,$0.00 
/am-i-in-menopause/,24.0.112.76,3,1,0:02:00,0,0.00%,0.00%,$0.00 
/am-i-in-menopause/,50.25.0.72,3,1,0:01:42,0,0.00%,0.00%,$0.00 
/am-i-in-menopause/,67.184.189.126,3,1,0:01:21,0,0.00%,0.00%,$0.00 
/am-i-in-menopause/,68.14.118.41,3,1,0:00:31,0,0.00%,0.00%,$0.00 
/am-i-in-menopause/,68.47.20.170,3,1,0:01:24,0,0.00%,0.00%,$0.00 
/create-my-menoplan/,100.1.210.47,3,1,0:01:13,0,0.00%,0.00%,$0.00 
/create-my-menoplan/,108.238.90.79,3,1,0:03:03,0,0.00%,33.33%,$0.00 
/create-my-menoplan/,24.154.107.20,3,1,0:01:08,0,0.00%,33.33%,$0.00 
/create-my-menoplan/,68.132.107.8,3,2,0:03:29,1,0.00%,33.33%,$0.00 
/create-my-menoplan/,70.162.176.142,3,1,0:01:53,0,0.00%,0.00%,$0.00 
/create-my-menoplan/,71.214.48.85,3,1,0:02:36,0,0.00%,0.00%,$0.00 
/create-my-menoplan/,72.196.151.16,3,1,0:01:06,0,0.00%,0.00%,$0.00 
/create-my-menoplan/,74.134.88.28,3,1,0:02:00,0,0.00%,33.33%,$0.00 
/create-my-menoplan/,75.104.71.177,3,1,0:01:18,0,0.00%,0.00%,$0.00 
/create-my-menoplan/,75.111.145.77,3,2,0:02:35,1,100.00%,66.67%,$0.00 
/create-my-menoplan/,98.165.150.193,3,1,0:00:54,0,0.00%,0.00%,$0.00 
/create-my-menoplan/,99.44.25.230,3,1,0:01:40,0,0.00%,33.33%,$0.00 
/dry-eyes/,172.56.42.95,3,1,0:00:45,0,0.00%,0.00%,$0.00 
/dry-hair-skin/,67.213.236.220,3,1,0:01:02,0,0.00%,0.00%,$0.00 
/dry-hair-skin/,75.58.42.195,3,1,0:00:12,0,0.00%,0.00%,$0.00 
/hot-flashes/,174.243.179.121,3,1,0:00:57,0,0.00%,33.33%,$0.00 
/mood-depression-anxiety/,140.186.252.50,3,1,0:00:23,0,0.00%,0.00%,$0.00 
/mood-depression-anxiety/,73.147.52.48,3,1,0:00:36,0,0.00%,0.00%,$0.00 
/pain-with-sex/,172.58.139.108,3,1,0:00:43,0,0.00%,0.00%,$0.00 
/pelvic-floor-physical-therapy/,71.12.154.101,3,1,0:01:22,0,0.00%,0.00%,$0.00 
/pelvic-floor-physical-therapy/,75.21.235.253,3,1,0:04:04,0,0.00%,0.00%,$0.00 
/physical-aches-pains/,107.204.168.21,3,1,0:01:04,0,0.00%,0.00%,$0.00 
/questions-and-answers/,140.186.252.50,3,1,0:01:38,0,0.00%,0.00%,$0.00 
/questions-and-answers/,47.26.135.230,3,1,0:01:12,0,0.00%,0.00%,$0.00 
/questions-and-answers/,54.201.37.197,3,3,0:00:11,0,0.00%,33.33%,$0.00 
/questions-and-answers/,71.129.32.129,3,1,0:01:40,0,0.00%,0.00%,$0.00 
/questions-and-answers/,71.227.107.130,3,1,0:01:01,0,0.00%,33.33%,$0.00 
/sleep-problems-insomnia/,108.52.234.84,3,2,0:01:06,2,50.00%,66.67%,$0.00 
/sleep-problems-insomnia/,174.211.129.240,3,1,0:00:44,0,0.00%,0.00%,$0.00 
/sleep-problems-insomnia/,70.94.244.118,3,1,0:02:17,0,0.00%,0.00%,$0.00 
/sleep-problems-insomnia/,73.11.8.10,3,1,0:00:33,0,0.00%,0.00%,$0.00 
/sleep-problems-insomnia/,73.182.217.127,3,1,0:00:22,0,0.00%,0.00%,$0.00 
/strategies-to-talk-with-your-doctor/,137.83.68.106,3,1,0:00:14,0,0.00%,0.00%,$0.00 
/strategies-to-talk-with-your-doctor/,172.56.30.101,3,1,0:00:13,0,0.00%,0.00%,$0.00 
/symptoms-landing-page/,1.127.30.239,3,1,0:00:35,0,0.00%,0.00%,$0.00 
/symptoms-landing-page/,108.183.166.171,3,1,0:00:05,0,0.00%,0.00%,$0.00 
/symptoms-landing-page/,141.156.128.117,3,1,0:00:22,0,0.00%,33.33%,$0.00 
/symptoms-landing-page/,147.92.18.9,3,1,0:00:18,0,0.00%,0.00%,$0.00 
/symptoms-landing-page/,172.221.114.222,3,1,0:00:09,0,0.00%,0.00%,$0.00 
/symptoms-landing-page/,172.56.13.86,3,1,0:00:17,0,0.00%,0.00%,$0.00 
/symptoms-landing-page/,172.58.220.43,3,1,0:00:11,0,0.00%,0.00%,$0.00 
/symptoms-landing-page/,172.58.6.204,3,1,0:00:34,0,0.00%,0.00%,$0.00 
/symptoms-landing-page/,174.197.203.48,3,1,0:00:21,0,0.00%,33.33%,$0.00 
/symptoms-landing-page/,174.210.235.168,3,1,0:00:21,0,0.00%,0.00%,$0.00 
/symptoms-landing-page/,24.169.87.10,3,1,0:00:17,0,0.00%,0.00%,$0.00 
/symptoms-landing-page/,69.141.231.61,3,1,0:00:13,0,0.00%,0.00%,$0.00 
/symptoms-landing-page/,71.192.14.0,3,1,0:00:16,0,0.00%,33.33%,$0.00 
/symptoms-landing-page/,76.234.140.218,3,1,0:00:21,0,0.00%,0.00%,$0.00 
/symptoms-landing-page/,96.29.3.249,3,1,0:00:14,0,0.00%,0.00%,$0.00 
/symptoms-landing-page/,99.108.235.167,3,1,0:00:12,0,0.00%,0.00%,$0.00 
/symptoms-landing-page/,99.185.57.102,3,1,0:00:14,0,0.00%,0.00%,$0.00 
/symptoms-landing-page/,99.44.25.230,3,1,0:01:34,0,0.00%,0.00%,$0.00 
/symptoms-landing-page/,99.92.172.96,3,1,0:00:17,0,0.00%,0.00%,$0.00 
/treatments/,174.198.65.5,3,2,0:00:25,1,100.00%,66.67%,$0.00 
/treatments/,64.127.165.14,3,1,0:00:46,0,0.00%,0.00%,$0.00 
/treatments/,65.184.42.10,3,1,0:00:13,0,0.00%,0.00%,$0.00 
/treatments/,71.67.244.85,3,1,0:00:20,0,0.00%,0.00%,$0.00 
/vaginal-dilators/,69.14.50.208,3,1,0:01:20,1,0.00%,33.33%,$0.00 
/womens-stories/,174.246.134.42,3,1,0:05:31,0,0.00%,0.00%,$0.00 
/womens-stories/,24.0.112.76,3,1,0:03:23,0,0.00%,0.00%,$0.00 
/,104.176.121.100,2,1,0:00:09,1,0.00%,50.00%,$0.00 
/,104.34.140.196,2,1,0:01:01,1,0.00%,0.00%,$0.00 
/,104.62.180.181,2,1,0:01:25,1,0.00%,0.00%,$0.00 
/,104.8.80.79,2,2,0:00:42,2,50.00%,50.00%,$0.00 
/,107.126.100.27,2,1,0:00:13,1,0.00%,0.00%,$0.00 
/,107.126.121.174,2,1,0:01:14,1,0.00%,50.00%,$0.00 
/,107.136.61.184,2,2,0:00:44,2,0.00%,0.00%,$0.00 
/,107.77.169.36,2,1,0:00:29,1,0.00%,0.00%,$0.00 
/,107.77.204.37,2,1,0:00:27,1,0.00%,50.00%,$0.00 
/,108.183.166.171,2,1,0:00:42,1,0.00%,0.00%,$0.00 
/,108.238.90.79,2,1,0:00:43,1,0.00%,0.00%,$0.00 
/,108.30.127.130,2,1,0:00:39,1,0.00%,0.00%,$0.00 
/,108.75.185.166,2,1,0:00:31,1,0.00%,0.00%,$0.00 
/,136.49.55.129,2,2,0:00:23,2,0.00%,0.00%,$0.00 
/,172.56.12.176,2,1,0:00:31,1,0.00%,0.00%,$0.00 
/,172.56.30.101,2,1,0:00:27,1,0.00%,50.00%,$0.00 
/,172.58.137.217,2,2,0:01:34,1,0.00%,50.00%,$0.00 
/,172.58.238.130,2,1,0:00:14,1,0.00%,50.00%,$0.00 
/,172.58.44.251,2,1,0:00:30,1,0.00%,0.00%,$0.00 
/,172.76.59.43,2,1,0:00:11,1,0.00%,0.00%,$0.00 
/,173.16.94.233,2,1,0:04:09,1,0.00%,50.00%,$0.00 
/,173.2.249.174,2,1,0:00:37,1,0.00%,0.00%,$0.00 
/,173.29.26.241,2,2,0:00:08,2,50.00%,50.00%,$0.00 
/,174.198.65.5,2,2,0:00:39,2,50.00%,50.00%,$0.00 
/,174.204.9.124,2,1,0:00:27,1,0.00%,0.00%,$0.00 
/,174.208.193.174,2,1,0:00:44,1,0.00%,0.00%,$0.00 
/,174.208.34.69,2,1,0:00:08,1,0.00%,50.00%,$0.00 
/,174.214.0.116,2,1,0:00:56,1,0.00%,0.00%,$0.00 
/,174.249.47.115,2,1,0:05:47,1,0.00%,50.00%,$0.00 
/,184.62.130.147,2,1,0:00:39,1,0.00%,0.00%,$0.00 
/,205.169.39.154,2,2,0:00:00,2,100.00%,100.00%,$0.00 
/,23.123.210.55,2,1,0:00:21,1,0.00%,0.00%,$0.00 
/,23.84.10.87,2,1,0:00:14,1,0.00%,0.00%,$0.00 
/,24.151.232.123,2,1,0:00:52,1,0.00%,50.00%,$0.00 
/,24.169.2.9,2,1,0:00:07,1,0.00%,0.00%,$0.00 
/,24.250.15.34,2,1,0:00:47,1,0.00%,0.00%,$0.00 
/,24.59.245.51,2,2,0:00:00,1,100.00%,100.00%,$0.00 
/,47.196.175.149,2,1,0:00:48,1,0.00%,0.00%,$0.00 
/,47.223.139.19,2,1,0:00:35,1,0.00%,50.00%,$0.00 
/,50.122.27.199,2,1,0:00:27,1,0.00%,0.00%,$0.00 
/,64.68.238.54,2,1,0:00:10,1,0.00%,50.00%,$0.00 
/,67.172.10.62,2,1,0:00:51,1,0.00%,50.00%,$0.00 
/,67.184.189.126,2,1,0:01:13,1,0.00%,50.00%,$0.00 
/,67.186.32.145,2,1,0:00:34,1,0.00%,0.00%,$0.00 
/,67.213.236.220,2,1,0:00:10,1,0.00%,50.00%,$0.00 
/,67.82.145.227,2,2,0:00:16,2,0.00%,0.00%,$0.00 
/,68.132.107.8,2,1,0:01:15,1,0.00%,0.00%,$0.00 
/,68.14.118.41,2,1,0:00:46,1,0.00%,50.00%,$0.00 
/,68.15.240.108,2,1,0:00:18,1,0.00%,50.00%,$0.00 
/,68.171.180.200,2,1,0:01:12,1,0.00%,50.00%,$0.00 
/,68.195.153.13,2,1,0:02:12,1,0.00%,0.00%,$0.00 
/,68.37.167.213,2,1,0:01:38,1,0.00%,0.00%,$0.00 
/,68.93.4.230,2,1,0:00:29,1,0.00%,0.00%,$0.00 
/,69.204.253.160,2,2,0:00:08,2,50.00%,50.00%,$0.00 
/,70.127.1.212,2,1,0:00:32,1,0.00%,0.00%,$0.00 
/,70.172.5.170,2,1,0:00:42,1,0.00%,0.00%,$0.00 
/,70.175.75.192,2,1,0:03:24,1,0.00%,50.00%,$0.00 
/,70.94.244.118,2,1,0:00:27,1,0.00%,0.00%,$0.00 
/,70.94.78.192,2,1,0:00:53,1,0.00%,0.00%,$0.00 
/,71.12.154.101,2,1,0:01:28,1,0.00%,50.00%,$0.00 
/,71.205.194.161,2,2,0:00:47,2,0.00%,0.00%,$0.00 
/,71.213.45.87,2,1,0:00:19,1,0.00%,0.00%,$0.00 
/,71.214.48.85,2,1,0:00:48,1,0.00%,0.00%,$0.00 
/,71.45.41.119,2,1,0:02:22,1,0.00%,50.00%,$0.00 
/,71.67.244.85,2,2,0:00:26,2,0.00%,0.00%,$0.00 
/,72.188.247.175,2,1,0:00:40,1,0.00%,50.00%,$0.00 
/,73.136.94.35,2,1,0:00:24,1,0.00%,0.00%,$0.00 
/,73.147.52.48,2,1,0:00:10,1,0.00%,0.00%,$0.00 
/,73.182.217.127,2,1,0:00:47,1,0.00%,0.00%,$0.00 
/,73.216.48.91,2,1,0:00:35,1,0.00%,50.00%,$0.00 
/,73.37.13.59,2,2,0:00:08,2,50.00%,50.00%,$0.00 
/,74.213.203.196,2,1,0:00:19,1,0.00%,50.00%,$0.00 
/,75.104.71.177,2,1,0:04:27,1,0.00%,0.00%,$0.00 
/,75.21.235.253,2,1,0:02:00,1,0.00%,0.00%,$0.00 
/,75.89.200.130,2,1,0:00:38,1,0.00%,0.00%,$0.00 
/,76.108.73.56,2,1,0:00:51,1,0.00%,0.00%,$0.00 
/,76.167.213.176,2,1,0:00:12,1,0.00%,0.00%,$0.00 
/,76.26.54.57,2,1,0:01:09,1,0.00%,0.00%,$0.00 
/,8.29.210.69,2,1,0:00:38,1,0.00%,0.00%,$0.00 
/,96.41.202.198,2,2,0:00:08,2,0.00%,0.00%,$0.00 
/,97.113.35.1,2,1,0:00:39,1,0.00%,0.00%,$0.00 
/,97.115.93.206,2,1,0:00:36,1,0.00%,0.00%,$0.00 
/,97.91.169.33,2,1,0:01:12,1,0.00%,0.00%,$0.00 
/,98.148.91.153,2,1,0:01:33,1,0.00%,50.00%,$0.00 
/,98.152.32.83,2,2,0:00:21,2,50.00%,50.00%,$0.00 
/,98.23.209.26,2,1,0:01:00,1,0.00%,0.00%,$0.00 
/,98.27.129.144,2,1,0:03:12,1,0.00%,50.00%,$0.00 
/,99.102.165.93,2,1,0:01:25,1,0.00%,0.00%,$0.00 
/,99.44.25.230,2,1,0:00:09,1,0.00%,0.00%,$0.00 
/about/,24.0.112.76,2,1,0:00:31,0,0.00%,50.00%,$0.00 
/about/,24.8.149.174,2,1,0:00:28,0,0.00%,50.00%,$0.00 
/about/,67.43.240.171,2,1,0:00:07,0,0.00%,0.00%,$0.00 
/about/,70.162.176.142,2,1,0:00:10,0,0.00%,0.00%,$0.00 
/about/,70.18.238.174,2,1,0:00:05,0,0.00%,0.00%,$0.00 
/about/,71.227.107.130,2,1,0:00:33,0,0.00%,0.00%,$0.00 
/about/,72.188.247.175,2,1,0:00:15,0,0.00%,0.00%,$0.00 
/about/,75.89.200.130,2,1,0:00:07,0,0.00%,0.00%,$0.00 
/about/,8.29.210.69,2,1,0:00:11,0,0.00%,0.00%,$0.00 
/about/,99.160.137.175,2,1,0:00:11,0,0.00%,0.00%,$0.00 
/am-i-in-menopause/,104.34.140.196,2,1,0:03:11,0,0.00%,50.00%,$0.00 
/am-i-in-menopause/,104.4.139.57,2,1,0:03:07,0,0.00%,0.00%,$0.00 
/am-i-in-menopause/,107.126.100.27,2,1,0:00:31,0,0.00%,0.00%,$0.00 
/am-i-in-menopause/,107.204.168.21,2,1,0:00:56,0,0.00%,0.00%,$0.00 
/am-i-in-menopause/,108.213.221.15,2,1,0:01:01,0,0.00%,0.00%,$0.00 
/am-i-in-menopause/,108.238.90.79,2,1,0:01:00,0,0.00%,0.00%,$0.00 
/am-i-in-menopause/,108.30.127.130,2,1,0:01:08,0,0.00%,0.00%,$0.00 
/am-i-in-menopause/,162.218.220.231,2,1,0:01:19,0,0.00%,0.00%,$0.00 
/am-i-in-menopause/,172.56.12.176,2,1,0:00:45,0,0.00%,0.00%,$0.00 
/am-i-in-menopause/,172.56.13.86,2,1,0:00:49,0,0.00%,0.00%,$0.00 
/am-i-in-menopause/,172.56.30.101,2,1,0:00:09,0,0.00%,0.00%,$0.00 
/am-i-in-menopause/,172.56.42.201,2,1,0:01:44,0,0.00%,0.00%,$0.00 
/am-i-in-menopause/,174.210.235.168,2,1,0:01:26,0,0.00%,0.00%,$0.00 
/am-i-in-menopause/,174.211.129.240,2,1,0:00:21,0,0.00%,0.00%,$0.00 
/am-i-in-menopause/,174.246.134.42,2,1,0:07:47,0,0.00%,50.00%,$0.00 
/am-i-in-menopause/,174.249.47.115,2,1,0:01:55,0,0.00%,0.00%,$0.00 
/am-i-in-menopause/,174.250.36.12,2,1,0:01:51,0,0.00%,0.00%,$0.00 
/am-i-in-menopause/,174.80.241.119,2,1,0:00:36,0,0.00%,50.00%,$0.00 
/am-i-in-menopause/,174.86.0.207,2,1,0:00:21,0,0.00%,0.00%,$0.00 
/am-i-in-menopause/,209.107.179.56,2,1,0:00:33,0,0.00%,0.00%,$0.00 
/am-i-in-menopause/,23.242.78.23,2,1,0:00:47,0,0.00%,50.00%,$0.00 
/am-i-in-menopause/,24.194.226.86,2,1,0:00:27,0,0.00%,0.00%,$0.00 
/am-i-in-menopause/,24.63.96.210,2,1,0:00:46,0,0.00%,0.00%,$0.00 
/am-i-in-menopause/,24.8.149.174,2,1,0:01:08,0,0.00%,0.00%,$0.00 
/am-i-in-menopause/,47.32.4.202,2,1,0:01:03,0,0.00%,0.00%,$0.00 
/am-i-in-menopause/,50.122.27.199,2,1,0:00:45,0,0.00%,0.00%,$0.00 
/am-i-in-menopause/,54.201.37.197,2,2,0:00:12,0,0.00%,0.00%,$0.00 
/am-i-in-menopause/,64.127.165.14,2,1,0:01:15,0,0.00%,0.00%,$0.00 
/am-i-in-menopause/,66.38.61.218,2,1,0:00:26,0,0.00%,50.00%,$0.00 
/am-i-in-menopause/,67.186.32.145,2,1,0:01:34,0,0.00%,50.00%,$0.00 
/am-i-in-menopause/,67.49.116.39,2,1,0:01:19,0,0.00%,0.00%,$0.00 
/am-i-in-menopause/,68.132.107.8,2,1,0:00:39,0,0.00%,0.00%,$0.00 
/am-i-in-menopause/,70.187.28.91,2,1,0:00:32,0,0.00%,0.00%,$0.00 
