IPAddress,mind-body,ok-for-breast-cancer,only-treatments-known-to-work,professional-help,try-on-your-own
76.120.172.6,1.0,0.0,1.0,0.0,0.0
76.172.66.181,0.0,0.0,1.0,1.0,0.0
96.252.109.126,1.0,0.0,1.0,1.0,1.0
96.41.202.198,0.0,0.0,0.0,0.0,1.0
97.121.167.37,1.0,0.0,1.0,0.0,1.0
97.83.172.247,0.0,0.0,2.0,2.0,2.0
97.86.226.143,1.0,0.0,0.0,0.0,0.0
98.146.203.152,0.0,0.0,1.0,0.0,1.0
98.174.82.34,1.0,0.0,0.0,0.0,1.0
98.181.6.74,2.0,2.0,2.0,2.0,2.0
98.204.252.212,1.0,0.0,0.0,0.0,1.0
98.207.138.26,1.0,0.0,1.0,1.0,1.0
98.22.203.135,0.0,0.0,0.0,0.0,1.0
98.222.110.65,0.0,0.0,1.0,0.0,1.0
98.222.57.206,0.0,0.0,0.0,1.0,1.0
98.23.209.26,0.0,0.0,1.0,0.0,1.0
98.4.93.222,1.0,0.0,0.0,0.0,1.0
98.40.10.88,0.0,0.0,1.0,0.0,0.0
99.102.165.93,0.0,0.0,0.0,1.0,1.0
99.108.235.167,1.0,0.0,0.0,0.0,1.0
99.113.109.28,0.0,0.0,0.0,0.0,1.0
99.122.61.62,0.0,0.0,0.0,0.0,1.0
99.185.57.102,0.0,0.0,1.0,0.0,0.0
99.32.58.89,0.0,0.0,0.0,0.0,1.0
99.44.25.230,2.0,0.0,0.0,0.0,2.0
99.54.138.36,1.0,0.0,0.0,1.0,1.0
99.7.30.41,0.0,0.0,0.0,0.0,1.0
99.8.85.105,0.0,0.0,1.0,0.0,1.0
99.82.254.180,1.0,0.0,0.0,0.0,1.0
99.93.208.84,0.0,0.0,0.0,0.0,1.0
